"Report Date","Age","Cases","Rate per 100k","cinc","Seven-day Average Case Rate"
2020-03-06,"65-84 years",1,0.29,0.292337825591253,NA
2020-03-09,"65-84 years",1,0.29,0.584675651182507,NA
2020-03-11,"45-64 years",1,0.16,0.155890234568036,NA
2020-03-12,"45-64 years",1,0.16,0.311780469136072,NA
2020-03-13,"25-44 years",3,0.32,0.322516488655482,NA
2020-03-13,"45-64 years",2,0.31,0.623560938272144,NA
2020-03-14,"25-44 years",4,0.43,0.752538473529459,NA
2020-03-14,"45-64 years",1,0.16,0.77945117284018,NA
2020-03-15,"1-14 years",1,0.14,0.138470784049273,NA
2020-03-15,"15-24 years",2,0.38,0.37949295945687,NA
2020-03-15,"25-44 years",8,0.86,1.61258244327741,NA
2020-03-15,"45-64 years",1,0.16,0.935341407408216,NA
2020-03-16,"15-24 years",2,0.38,0.758985918913739,NA
2020-03-16,"25-44 years",2,0.22,1.8275934357144,NA
2020-03-16,"45-64 years",8,1.25,2.1824632839525,NA
2020-03-17,"15-24 years",2,0.38,1.13847887837061,NA
2020-03-17,"25-44 years",7,0.75,2.58013190924386,NA
2020-03-17,"45-64 years",3,0.47,2.65013398765661,NA
2020-03-17,"65-84 years",2,0.58,1.16935130236501,NA
2020-03-18,"15-24 years",2,0.38,1.51797183782748,NA
2020-03-18,"25-44 years",3,0.32,2.90264839789934,NA
2020-03-18,"45-64 years",3,0.47,3.11780469136072,0.4
2020-03-18,"65-84 years",1,0.29,1.46168912795627,NA
2020-03-19,"15-24 years",7,1.33,2.84619719592652,NA
2020-03-19,"25-44 years",13,1.4,4.30021984873977,NA
2020-03-19,"45-64 years",8,1.25,4.36492656790501,0.6
2020-03-19,"65-84 years",6,1.75,3.21571608150379,NA
2020-03-20,"15-24 years",4,0.76,3.60518311484026,NA
2020-03-20,"25-44 years",13,1.4,5.69779129958019,0.8
2020-03-20,"45-64 years",8,1.25,5.61204844444929,0.7
2020-03-20,"65-84 years",1,0.29,3.50805390709504,NA
2020-03-21,"1-14 years",1,0.14,0.276941568098547,NA
2020-03-21,"15-24 years",4,0.76,4.364169033754,NA
2020-03-21,"25-44 years",8,0.86,6.55783526932814,0.8
2020-03-21,"45-64 years",6,0.94,6.54738985185751,0.8
2020-03-21,"65-84 years",3,0.88,4.3850673838688,NA
2020-03-22,"1-14 years",1,0.14,0.41541235214782,NA
2020-03-22,"15-24 years",14,2.66,7.02061974995209,0.9
2020-03-22,"25-44 years",26,2.8,9.35297817100899,1.1
2020-03-22,"45-64 years",27,4.21,10.7564261851945,1.4
2020-03-22,"65-84 years",14,4.09,8.47779694214634,1.2
2020-03-23,"1-14 years",1,0.14,0.553883136197094,NA
2020-03-23,"15-24 years",1,0.19,7.21036622968052,0.9
2020-03-23,"25-44 years",5,0.54,9.89050565210146,1.2
2020-03-23,"45-64 years",15,2.34,13.094779703715,1.6
2020-03-23,"65-84 years",9,2.63,11.1088373724676,1.5
2020-03-24,"1-14 years",2,0.28,0.830824704295641,NA
2020-03-24,"15-24 years",8,1.52,8.728338067508,1.1
2020-03-24,"25-44 years",32,3.44,13.3306815310933,1.5
2020-03-24,"45-64 years",20,3.12,16.2125843950757,1.9
2020-03-24,"65-84 years",5,1.46,12.5705265004239,1.6
2020-03-24,"85+ years",1,2.53,2.53017230473395,NA
2020-03-25,"15-24 years",5,0.95,9.67707046615018,1.2
2020-03-25,"25-44 years",15,1.61,14.9432639743707,1.7
2020-03-25,"45-64 years",14,2.18,18.3950476790282,2.2
2020-03-25,"65-84 years",6,1.75,14.3245534539714,1.8
2020-03-26,"1-14 years",2,0.28,1.10776627239419,NA
2020-03-26,"15-24 years",9,1.71,11.3847887837061,1.2
2020-03-26,"25-44 years",42,4.52,19.4584948155474,2.2
2020-03-26,"45-64 years",25,3.9,22.2923035432291,2.6
