"date","Total Confirmed Hospitalizations","Total Confirmed ICU","Total Confirmed and Probable ICU","Total Confirmed Non-ICU","COVID-19 Percent ICU Utilization","Total Percent ICU Utilization","Facilities using prior day data"
2020-04-24,85,45,54,40,12,63,1
2020-04-25,91,47,57,44,12,61,0
2020-04-26,96,46,54,50,12,59,0
2020-04-27,90,47,57,43,12,55,0
2020-04-28,89,42,52,47,11,61,0
2020-04-29,89,43,58,46,13,60,0
2020-04-30,91,47,59,44,13,58,6
2020-05-01,86,47,57,39,12,58,1
2020-05-02,90,43,54,47,12,54,0
2020-05-03,99,51,53,48,12,49,0
2020-05-04,96,48,55,48,12,52,5
2020-05-05,90,50,57,40,12,62,1
2020-05-06,88,52,58,36,13,60,1
2020-05-07,86,52,62,34,14,63,1
2020-05-08,90,54,63,36,14,60,0
2020-05-09,88,55,59,33,13,59,1
2020-05-10,89,51,61,38,13,58,0
2020-05-11,94,51,66,43,14,57,1
2020-05-12,95,52,62,43,14,66,7
2020-05-13,98,56,71,42,16,61,0
2020-05-14,93,48,68,45,15,60,1
2020-05-15,100,51,62,49,14,66,0
2020-05-16,97,50,60,47,13,65,0
2020-05-17,92,50,58,42,13,60,1
2020-05-18,93,48,63,45,14,62,2
2020-05-19,96,50,60,46,13,67,0
2020-05-20,104,54,59,50,13,67,1
2020-05-21,47,29,33,18,10,67,0
2020-05-22,98,51,56,47,12,65,1
2020-05-23,91,51,58,40,13,63,0
2020-05-24,92,49,58,43,13,61,0
2020-05-25,92,46,54,46,12,60,0
2020-05-26,93,49,57,44,12,60,0
2020-05-27,91,44,50,47,11,68,0
2020-05-28,94,43,52,51,11,69,1
2020-05-29,91,45,52,46,11,69,0
2020-05-30,88,43,48,45,11,66,0
2020-05-31,100,42,47,58,10,64,1
2020-06-01,104,48,60,56,13,63,0
2020-06-02,104,52,60,52,13,65,0
2020-06-03,109,56,70,53,15,68,0
2020-06-04,105,55,57,50,12,66,0
2020-06-05,106,56,65,50,14,70,0
2020-06-06,112,62,77,50,17,69,0
2020-06-07,105,64,76,41,17,68,1
2020-06-08,117,66,84,51,18,64,2
2020-06-09,119,68,81,51,18,68,1
2020-06-10,110,62,72,48,16,67,0
2020-06-11,116,63,73,53,16,67,0
2020-06-12,124,69,76,55,17,70,3
2020-06-13,129,70,74,59,16,70,0
2020-06-14,136,65,77,71,17,61,2
2020-06-15,135,60,72,75,16,61,1
2020-06-16,141,60,72,81,16,62,0
2020-06-17,138,61,76,77,17,65,2
2020-06-18,136,60,62,76,14,65,3
2020-06-19,153,68,71,85,16,67,2
2020-06-20,153,60,66,93,14,65,0
2020-06-21,154,60,68,94,15,63,1
2020-06-22,144,70,76,74,17,66,0
2020-06-23,147,71,79,76,17,70,0
2020-06-24,155,74,87,81,19,69,0
2020-06-25,162,75,82,87,18,69,1
2020-06-26,171,68,77,103,17,65,1
2020-06-27,175,75,81,100,18,70,2
2020-06-28,179,75,80,104,18,67,2
2020-06-29,190,78,85,112,19,67,3
2020-06-30,176,78,88,98,19,69,3
2020-07-01,167,76,82,91,18,71,2
2020-07-02,170,81,88,89,19,72,0
2020-07-03,177,86,96,91,21,75,0
