"Onset Date","Confirmed Case Count","Cumulative Cases","Seven-day Average"
2020-03-06,3,25,3.3
2020-03-07,7,32,4.1
2020-03-08,9,41,5.1
2020-03-09,25,66,8.6
2020-03-10,13,79,9.4
2020-03-11,30,109,13.4
2020-03-12,40,149,18.1
2020-03-13,47,196,24.4
2020-03-14,38,234,28.9
2020-03-15,66,300,37
2020-03-16,80,380,44.9
2020-03-17,82,462,54.7
2020-03-18,90,552,63.3
2020-03-19,79,631,68.9
2020-03-20,79,710,73.4
2020-03-21,63,773,77
2020-03-22,74,847,78.1
2020-03-23,114,961,83
2020-03-24,83,1044,83.1
2020-03-25,110,1154,86
2020-03-26,93,1247,88
2020-03-27,102,1349,91.3
2020-03-28,93,1442,95.6
2020-03-29,79,1521,96.3
2020-03-30,106,1627,95.1
2020-03-31,106,1733,98.4
2020-04-01,135,1868,102
2020-04-02,99,1967,102.9
2020-04-03,109,2076,103.9
2020-04-04,92,2168,103.7
2020-04-05,78,2246,103.6
2020-04-06,126,2372,106.4
2020-04-07,78,2450,102.4
2020-04-08,111,2561,99
2020-04-09,101,2662,99.3
2020-04-10,95,2757,97.3
2020-04-11,82,2839,95.9
2020-04-12,75,2914,95.4
2020-04-13,170,3084,101.7
2020-04-14,128,3212,108.9
2020-04-15,131,3343,111.7
2020-04-16,132,3475,116.1
2020-04-17,137,3612,122.1
2020-04-18,137,3749,130
2020-04-19,79,3828,130.6
2020-04-20,172,4000,130.9
2020-04-21,133,4133,131.6
2020-04-22,167,4300,136.7
2020-04-23,148,4448,139
2020-04-24,164,4612,142.9
2020-04-25,106,4718,138.4
2020-04-26,110,4828,142.9
2020-04-27,166,4994,142
2020-04-28,147,5141,144
2020-04-29,151,5292,141.7
2020-04-30,182,5474,146.6
2020-05-01,207,5681,152.7
2020-05-02,105,5786,152.6
2020-05-03,107,5893,152.1
2020-05-04,162,6055,151.6
2020-05-05,139,6194,150.4
2020-05-06,157,6351,151.3
2020-05-07,173,6524,150
