"Date","Total","Died","Estimated Recovered *","Estimated Active"
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,2,0,0,2
2020-03-10,2,0,0,2
2020-03-11,3,0,0,3
2020-03-12,4,0,0,4
2020-03-13,9,0,0,9
2020-03-14,14,0,0,14
2020-03-15,26,0,0,26
2020-03-16,38,0,0,38
2020-03-17,52,0,0,52
2020-03-18,61,0,0,61
2020-03-19,95,0,0,95
2020-03-20,121,0,0,121
2020-03-21,143,0,0,143
2020-03-22,225,1,0,224
2020-03-23,256,1,0,255
2020-03-24,324,1,0,323
2020-03-25,364,1,0,363
2020-03-26,450,3,0,447
2020-03-27,574,4,1,569
2020-03-28,689,5,1,683
2020-03-29,789,7,1,781
2020-03-30,902,7,2,893
2020-03-31,984,9,2,973
2020-04-01,1065,9,3,1053
2020-04-02,1268,10,4,1254
2020-04-03,1425,10,9,1406
2020-04-04,1592,15,14,1563
2020-04-05,1665,15,26,1624
2020-04-06,1731,15,38,1678
2020-04-07,1814,16,51,1747
2020-04-08,1964,17,60,1887
2020-04-09,2089,19,93,1977
2020-04-10,2209,22,119,2068
2020-04-11,2309,22,139,2148
2020-04-12,2368,22,219,2127
2020-04-13,2415,22,250,2143
2020-04-14,2537,23,317,2197
2020-04-15,2674,24,355,2295
2020-04-16,2804,25,440,2339
2020-04-17,2939,26,562,2351
2020-04-18,3071,29,676,2366
2020-04-19,3219,30,773,2416
2020-04-20,3308,35,885,2388
2020-04-21,3446,35,966,2445
2020-04-22,3607,37,1046,2524
2020-04-23,3763,43,1244,2476
2020-04-24,3944,43,1397,2504
2020-04-25,4126,45,1563,2518
2020-04-26,4236,46,1636,2554
2020-04-27,4331,47,1701,2583
2020-04-28,4478,47,1784,2647
2020-04-29,4653,47,1932,2674
2020-04-30,4809,50,2055,2704
2020-05-01,4966,53,2175,2738
2020-05-02,5153,56,2272,2825
2020-05-03,5286,57,2331,2898
2020-05-04,5415,58,2375,2982
2020-05-05,5570,61,2496,3013
2020-05-06,5698,64,2629,3005
2020-05-07,5892,66,2755,3071
2020-05-08,6077,70,2884,3123
2020-05-09,6228,73,3015,3140
2020-05-10,6344,75,3161,3108
2020-05-11,6417,78,3248,3091
2020-05-12,6600,79,3383,3138
2020-05-13,6729,83,3540,3106
2020-05-14,6893,86,3692,3115
2020-05-15,7046,90,3869,3087
2020-05-16,7218,93,4048,3077
2020-05-17,7366,95,4156,3115
2020-05-18,7503,98,4249,3156
2020-05-19,7702,98,4395,3209
2020-05-20,7862,100,4567,3195
2020-05-21,8056,103,4719,3234
2020-05-22,8239,105,4871,3263
2020-05-23,8379,107,5051,3221
2020-05-24,8510,109,5182,3219
2020-05-25,8605,111,5310,3184
2020-05-26,8690,112,5463,3115
2020-05-27,8927,112,5590,3225
2020-05-28,9260,116,5780,3364
2020-05-29,9537,116,5962,3459
2020-05-30,9809,118,6107,3584
2020-05-31,10016,120,6223,3673
2020-06-01,10218,123,6289,3806
2020-06-02,10499,123,6471,3905
2020-06-03,10811,126,6598,4087
2020-06-04,11259,128,6761,4370
2020-06-05,11805,128,6912,4765
2020-06-06,12083,131,7082,4870
2020-06-07,12366,134,7227,5005
2020-06-08,12562,134,7362,5066
2020-06-09,12873,139,7556,5178
2020-06-10,13245,143,7714,5388
2020-06-11,13581,144,7906,5531
2020-06-12,13983,149,8085,5749
2020-06-13,14323,150,8222,5951
2020-06-14,14626,152,8352,6122
2020-06-15,14944,153,8444,6347
2020-06-16,15366,154,8526,6686
2020-06-17,15853,159,8756,6938
2020-06-18,16457,162,9086,7209
2020-06-19,17105,164,9362,7579
2020-06-20,17518,166,9634,7718
2020-06-21,17971,168,9837,7966
2020-06-22,18337,171,10036,8130
2020-06-23,18827,172,10311,8344
2020-06-24,19430,176,10621,8633
2020-06-25,20083,177,11067,8839
2020-06-26,20652,178,11611,8863
2020-06-27,21149,181,11888,9080
2020-06-28,21747,183,12169,9395
2020-06-29,22282,186,12363,9733
2020-06-30,22797,190,12674,9933
2020-07-01,23365,193,13045,10127
2020-07-02,23989,195,13380,10414
2020-07-03,24668,198,13780,10690
2020-07-04,25079,202,14117,10760
2020-07-05,25614,208,14417,10989
2020-07-06,26200,212,14733,11255
2020-07-07,26951,219,15154,11578
2020-07-08,27578,226,15637,11715
2020-07-09,28454,230,16239,11985
2020-07-10,29079,232,16877,11970
2020-07-11,29723,238,17285,12200
2020-07-12,30314,240,17736,12338
2020-07-13,30792,244,18100,12448
2020-07-14,31253,247,18583,12423
2020-07-15,31962,252,19181,12529
2020-07-16,32709,257,19830,12622
2020-07-17,33451,262,20396,12793
2020-07-18,34254,266,20890,13098
2020-07-19,34666,272,21483,12911
2020-07-20,35113,279,22014,12820
2020-07-21,35669,285,22523,12861
2020-07-22,36180,291,23083,12806
2020-07-23,37050,300,23706,13044
2020-07-24,37718,303,24379,13036
2020-07-25,38076,307,24785,12984
2020-07-26,38511,312,25312,12887
2020-07-27,38934,314,25891,12729
2020-07-28,39274,318,26631,12325
2020-07-29,39770,324,27247,12199
2020-07-30,40277,327,28116,11834
2020-07-31,40769,329,28733,11707
2020-08-01,41250,332,29369,11549
2020-08-02,41591,338,29945,11308
2020-08-03,41961,341,30414,11206
2020-08-04,42373,344,30872,11157
2020-08-05,42951,347,31578,11026
2020-08-06,43404,352,32324,10728
2020-08-07,43788,358,33066,10364
2020-08-08,44169,361,33862,9946
2020-08-09,44441,366,34269,9806
2020-08-10,44793,369,34714,9710
2020-08-11,45114,370,35262,9482
