"Test Date","Test Type","Result","Count","Daily Positive Tests","Daily People Tested"
2020-03-06,"PCR/amplification","NEGATIVE",15,1,16
2020-03-06,"PCR/amplification","POSITIVE",1,1,16
2020-03-07,"PCR/amplification","NEGATIVE",11,0,11
2020-03-08,"PCR/amplification","NEGATIVE",7,0,7
2020-03-09,"PCR/amplification","NEGATIVE",11,1,12
2020-03-09,"PCR/amplification","POSITIVE",1,1,12
2020-03-10,"PCR/amplification","NEGATIVE",25,0,25
2020-03-11,"PCR/amplification","NEGATIVE",56,1,57
2020-03-11,"PCR/amplification","POSITIVE",1,1,57
2020-03-12,"PCR/amplification","NEGATIVE",88,2,90
2020-03-12,"PCR/amplification","POSITIVE",2,2,90
2020-03-13,"PCR/amplification","NEGATIVE",166,4,170
2020-03-13,"PCR/amplification","POSITIVE",4,4,170
2020-03-14,"PCR/amplification","NEGATIVE",275,16,291
2020-03-14,"PCR/amplification","POSITIVE",16,16,291
2020-03-15,"PCR/amplification","NEGATIVE",325,17,342
2020-03-15,"PCR/amplification","POSITIVE",17,17,342
2020-03-16,"PCR/amplification","NEGATIVE",442,18,460
2020-03-16,"PCR/amplification","POSITIVE",18,18,460
2020-03-17,"PCR/amplification","NEGATIVE",523,19,542
2020-03-17,"PCR/amplification","POSITIVE",19,19,542
2020-03-18,"PCR/amplification","NEGATIVE",563,34,597
2020-03-18,"PCR/amplification","POSITIVE",34,34,597
2020-03-19,"PCR/amplification","NEGATIVE",810,44,854
2020-03-19,"PCR/amplification","POSITIVE",44,44,854
2020-03-20,"PCR/amplification","NEGATIVE",598,26,624
2020-03-20,"PCR/amplification","POSITIVE",26,26,624
2020-03-21,"PCR/amplification","NEGATIVE",581,32,613
2020-03-21,"PCR/amplification","POSITIVE",32,32,613
2020-03-22,"PCR/amplification","NEGATIVE",1075,61,1136
2020-03-22,"PCR/amplification","POSITIVE",61,61,1136
2020-03-23,"PCR/amplification","NEGATIVE",733,60,793
2020-03-23,"PCR/amplification","POSITIVE",60,60,793
2020-03-24,"PCR/amplification","NEGATIVE",1210,69,1279
2020-03-24,"PCR/amplification","POSITIVE",69,69,1279
2020-03-25,"PCR/amplification","NEGATIVE",1663,104,1767
2020-03-25,"PCR/amplification","POSITIVE",104,104,1767
2020-03-26,"PCR/amplification","NEGATIVE",2569,110,2679
2020-03-26,"PCR/amplification","POSITIVE",110,110,2679
2020-03-27,"PCR/amplification","NEGATIVE",2730,133,2863
2020-03-27,"PCR/amplification","POSITIVE",133,133,2863
2020-03-28,"PCR/amplification","NEGATIVE",2558,127,2685
2020-03-28,"PCR/amplification","POSITIVE",127,127,2685
2020-03-29,"PCR/amplification","NEGATIVE",1306,55,1361
2020-03-29,"PCR/amplification","POSITIVE",55,55,1361
2020-03-30,"PCR/amplification","NEGATIVE",2197,119,2316
2020-03-30,"PCR/amplification","POSITIVE",119,119,2316
2020-03-31,"PCR/amplification","NEGATIVE",2704,142,2846
2020-03-31,"PCR/amplification","POSITIVE",142,142,2846
2020-04-01,"PCR/amplification","NEGATIVE",2200,125,2325
2020-04-01,"PCR/amplification","POSITIVE",125,125,2325
2020-04-02,"PCR/amplification","NEGATIVE",2522,131,2653
2020-04-02,"PCR/amplification","POSITIVE",131,131,2653
2020-04-03,"PCR/amplification","NEGATIVE",2275,126,2401
2020-04-03,"PCR/amplification","POSITIVE",126,126,2401
2020-04-04,"PCR/amplification","NEGATIVE",1864,113,1977
2020-04-04,"PCR/amplification","POSITIVE",113,113,1977
2020-04-05,"PCR/amplification","NEGATIVE",1304,69,1373
2020-04-05,"PCR/amplification","POSITIVE",69,69,1373
2020-04-06,"Antigen by DFA/IF","NEGATIVE",1,105,2307
2020-04-06,"PCR/amplification","NEGATIVE",2201,105,2307
2020-04-06,"PCR/amplification","POSITIVE",105,105,2307
2020-04-07,"PCR/amplification","NEGATIVE",2272,123,2395
2020-04-07,"PCR/amplification","POSITIVE",123,123,2395
2020-04-08,"PCR/amplification","NEGATIVE",2100,87,2187
2020-04-08,"PCR/amplification","POSITIVE",87,87,2187
2020-04-09,"PCR/amplification","NEGATIVE",1956,96,2052
2020-04-09,"PCR/amplification","POSITIVE",96,96,2052
2020-04-10,"PCR/amplification","NEGATIVE",1935,112,2047
2020-04-10,"PCR/amplification","POSITIVE",112,112,2047
