"Collection Date","Daily Positive","Daily Negative","7-Day Percent Positivity"
2020-03-16,24,941,3.28
2020-03-17,42,918,3.57
2020-03-18,35,707,3.78
2020-03-19,49,778,4.22
2020-03-20,40,731,4.47
2020-03-21,35,419,4.73
2020-03-22,28,381,4.93
2020-03-23,72,1139,5.6
2020-03-24,94,1838,5.56
2020-03-25,127,2454,5.44
2020-03-26,131,2486,5.28
2020-03-27,117,2343,5.18
2020-03-28,72,1445,5.04
2020-03-29,54,1118,4.94
2020-03-30,150,2696,4.93
2020-03-31,125,2451,4.92
2020-04-01,127,2471,4.92
2020-04-02,135,2654,4.89
2020-04-03,138,2808,4.87
2020-04-04,73,1582,4.84
2020-04-05,85,902,5.08
2020-04-06,130,2728,4.95
2020-04-07,105,2270,4.89
2020-04-08,99,1967,4.88
2020-04-09,118,1864,5.03
2020-04-10,106,1784,5.18
2020-04-11,53,1007,5.27
2020-04-12,25,467,5
2020-04-13,211,3006,5.48
2020-04-14,117,3930,4.94
2020-04-15,145,4587,4.45
2020-04-16,120,5597,3.67
2020-04-17,153,4751,3.41
2020-04-18,84,2560,3.32
2020-04-19,81,1473,3.4
2020-04-20,184,4867,3.09
2020-04-21,176,4438,3.23
2020-04-22,138,5306,3.13
2020-04-23,192,4318,3.51
2020-04-24,170,4044,3.66
2020-04-25,92,2470,3.7
2020-04-26,79,1855,3.64
2020-04-27,185,4169,3.73
2020-04-28,146,3788,3.72
2020-04-29,160,3824,4.02
2020-04-30,222,3988,4.18
2020-05-01,200,4489,4.22
2020-05-02,111,2316,4.32
2020-05-03,92,1677,4.4
2020-05-04,175,3682,4.45
2020-05-05,160,4277,4.41
2020-05-06,186,4254,4.44
2020-05-07,145,3909,4.16
2020-05-08,158,3887,4.1
2020-05-09,116,2664,4.07
2020-05-10,44,1196,3.96
2020-05-11,192,4388,3.91
2020-05-12,181,3630,4.1
2020-05-13,179,3098,4.27
2020-05-14,207,3386,4.62
2020-05-15,180,4060,4.67
2020-05-16,95,1944,4.73
2020-05-17,87,1558,4.84
2020-05-18,259,4088,5.18
2020-05-19,156,3786,5.04
2020-05-20,172,3409,4.94
2020-05-21,162,3009,4.84
2020-05-22,166,2910,5.03
2020-05-23,107,2020,5.07
2020-05-24,88,1628,5.05
2020-05-25,114,1486,5.02
2020-05-26,390,4360,5.99
2020-05-27,245,3604,6.27
2020-05-28,267,3579,6.57
2020-05-29,297,4199,6.74
2020-05-30,439,2881,7.8
2020-05-31,198,1734,8.2
2020-06-01,409,4117,8.4
2020-06-02,324,3615,8.41
2020-06-03,351,3352,8.87
2020-06-04,317,3485,9.08
2020-06-05,349,4217,9.26
2020-06-06,243,2665,8.63
2020-06-07,132,2210,8.24
2020-06-08,515,5525,8.17
2020-06-09,389,4790,8.04
2020-06-10,400,4183,7.97
2020-06-11,407,3336,8.29
2020-06-12,389,4588,8.31
2020-06-13,286,2532,8.48
2020-06-14,175,1841,8.72
2020-06-15,595,4748,9.22
2020-06-16,574,4752,9.81
2020-06-17,487,4226,10.07
2020-06-18,548,4136,10.22
2020-06-19,586,5227,10.59
2020-06-20,376,3326,10.57
2020-06-21,196,2096,10.55
2020-06-22,798,6812,10.44
2020-06-23,609,6285,10.08
2020-06-24,692,4986,10.38
2020-06-25,586,5413,10.12
2020-06-26,594,6179,9.89
2020-06-27,374,4013,9.71
2020-06-28,349,2639,9.92
2020-06-29,839,6998,9.97
2020-06-30,693,5922,10.25
2020-07-01,675,5613,10.05
2020-07-02,594,5677,10.01
2020-07-03,495,4832,10.12
2020-07-04,179,1574,10.31
2020-07-05,316,2760,10.2
2020-07-06,955,7184,10.43
2020-07-07,799,7091,10.36
2020-07-08,791,6441,10.4
2020-07-09,726,6504,10.48
2020-07-10,725,7086,10.41
2020-07-11,480,4023,10.44
2020-07-12,321,3363,10.32
2020-07-13,905,7520,10.15
2020-07-14,677,7263,9.88
2020-07-15,670,6102,9.71
2020-07-16,630,6129,9.6
2020-07-17,591,6235,9.52
2020-07-18,363,3859,9.31
2020-07-19,320,3014,9.39
2020-07-20,734,6490,9.25
2020-07-21,701,5812,9.63
2020-07-22,568,4726,9.73
2020-07-23,543,5629,9.65
2020-07-24,297,3020,9.77
2020-07-25,402,3178,10.06
2020-07-26,281,2602,10.08
2020-07-27,722,6127,10.15
2020-07-28,537,5061,9.94
2020-07-29,495,3982,9.97
2020-07-30,488,4247,10.25
2020-07-31,443,4747,10.11
2020-08-01,234,3301,9.62
2020-08-02,211,2370,9.49
2020-08-03,606,5548,9.34
2020-08-04,438,4898,9.11
2020-08-05,456,3965,9
2020-08-06,396,3946,8.82
2020-08-07,416,4714,8.75
2020-08-08,242,2970,8.87
2020-08-09,253,2527,8.95
2020-08-10,485,3470,9.21
2020-08-11,429,4616,9.27
2020-08-12,327,3848,8.9
2020-08-13,405,3984,8.91
2020-08-14,353,4230,8.86
2020-08-15,213,2481,8.92
2020-08-16,164,2222,8.73
2020-08-17,475,4712,8.31
2020-08-18,433,4506,8.36
2020-08-19,426,3768,8.7
2020-08-20,433,3992,8.79
2020-08-21,363,4480,8.74
2020-08-22,248,2334,8.9
2020-08-23,231,2084,9.16
2020-08-24,567,5152,9.31
2020-08-25,398,4290,9.27
