"Admission Date","Hospitalization Count","Cumulative Hospitalizations","Seven-day Average"
2020-03-06,0,0,0
2020-03-07,1,1,0.1
2020-03-08,0,1,0.1
2020-03-09,0,1,0.1
2020-03-10,0,1,0.1
2020-03-11,0,1,0.1
2020-03-12,3,4,0.6
2020-03-13,1,5,0.7
2020-03-14,1,6,0.7
2020-03-15,2,8,1
2020-03-16,0,8,1
2020-03-17,3,11,1.4
2020-03-18,2,13,1.7
2020-03-19,0,13,1.3
2020-03-20,10,23,2.6
2020-03-21,3,26,2.9
2020-03-22,3,29,3
2020-03-23,8,37,4.1
2020-03-24,3,40,4.1
2020-03-25,10,50,5.3
2020-03-26,13,63,7.1
2020-03-27,5,68,6.4
2020-03-28,5,73,6.7
2020-03-29,11,84,7.9
2020-03-30,13,97,8.6
2020-03-31,8,105,9.3
2020-04-01,9,114,9.1
2020-04-02,4,118,7.9
2020-04-03,5,123,7.9
2020-04-04,4,127,7.7
2020-04-05,9,136,7.4
2020-04-06,10,146,7
2020-04-07,6,152,6.7
2020-04-08,11,163,7
2020-04-09,6,169,7.3
2020-04-10,9,178,7.9
2020-04-11,10,188,8.7
2020-04-12,11,199,9
2020-04-13,10,209,9
2020-04-14,7,216,9.1
2020-04-15,12,228,9.3
2020-04-16,4,232,9
2020-04-17,13,245,9.6
2020-04-18,5,250,8.9
2020-04-19,7,257,8.3
2020-04-20,9,266,8.1
2020-04-21,15,281,9.3
2020-04-22,12,293,9.3
2020-04-23,18,311,11.3
2020-04-24,15,326,11.6
2020-04-25,5,331,11.6
2020-04-26,14,345,12.6
2020-04-27,10,355,12.7
2020-04-28,8,363,11.7
2020-04-29,6,369,10.9
2020-04-30,17,386,10.7
2020-05-01,13,399,10.4
2020-05-02,11,410,11.3
2020-05-03,11,421,10.9
2020-05-04,9,430,10.7
2020-05-05,7,437,10.6
2020-05-06,10,447,11.1
2020-05-07,10,457,10.1
2020-05-08,11,468,9.9
2020-05-09,16,484,10.6
2020-05-10,9,493,10.3
2020-05-11,10,503,10.4
2020-05-12,13,516,11.3
2020-05-13,11,527,11.4
2020-05-14,9,536,11.3
2020-05-15,11,547,11.3
2020-05-16,12,559,10.7
2020-05-17,8,567,10.6
2020-05-18,22,589,12.3
2020-05-19,18,607,13
2020-05-20,12,619,13.1
2020-05-21,14,633,13.9
2020-05-22,15,648,14.4
2020-05-23,13,661,14.6
2020-05-24,8,669,14.6
2020-05-25,7,676,12.4
2020-05-26,21,697,12.9
2020-05-27,21,718,14.1
2020-05-28,7,725,13.1
2020-05-29,16,741,13.3
2020-05-30,13,754,13.3
2020-05-31,14,768,14.1
2020-06-01,21,789,16.1
2020-06-02,16,805,15.4
2020-06-03,13,818,14.3
2020-06-04,18,836,15.9
2020-06-05,19,855,16.3
2020-06-06,19,874,17.1
2020-06-07,15,889,17.3
2020-06-08,15,904,16.4
2020-06-09,15,919,16.3
2020-06-10,27,946,18.3
2020-06-11,14,960,17.7
2020-06-12,19,979,17.7
2020-06-13,14,993,17
2020-06-14,16,1009,17.1
2020-06-15,27,1036,18.9
2020-06-16,24,1060,20.1
2020-06-17,22,1082,19.4
2020-06-18,27,1109,21.3
2020-06-19,26,1135,22.3
2020-06-20,14,1149,22.3
2020-06-21,18,1167,22.6
2020-06-22,24,1191,22.1
2020-06-23,27,1218,22.6
2020-06-24,33,1251,24.1
2020-06-25,35,1286,25.3
2020-06-26,31,1317,26
2020-06-27,25,1342,27.6
2020-06-28,35,1377,30
2020-06-29,26,1403,30.3
2020-06-30,25,1428,30
2020-07-01,31,1459,29.7
2020-07-02,34,1493,29.6
2020-07-03,27,1520,29
2020-07-04,22,1542,28.6
2020-07-05,31,1573,28
2020-07-06,27,1600,28.1
2020-07-07,28,1628,28.6
2020-07-08,38,1666,29.6
2020-07-09,35,1701,29.7
2020-07-10,27,1728,29.7
2020-07-11,30,1758,30.9
2020-07-12,19,1777,29.1
2020-07-13,22,1799,28.4
2020-07-14,33,1832,29.1
2020-07-15,28,1860,27.7
2020-07-16,21,1881,25.7
2020-07-17,34,1915,26.7
2020-07-18,13,1928,24.3
2020-07-19,26,1954,25.3
2020-07-20,31,1985,26.6
2020-07-21,15,2000,24
2020-07-22,30,2030,24.3
2020-07-23,28,2058,25.3
2020-07-24,27,2085,24.3
2020-07-25,27,2112,26.3
2020-07-26,21,2133,25.6
2020-07-27,30,2163,25.4
2020-07-28,32,2195,27.9
2020-07-29,30,2225,27.9
2020-07-30,32,2257,28.4
2020-07-31,25,2282,28.1
2020-08-01,21,2303,27.3
2020-08-02,22,2325,27.4
2020-08-03,30,2355,27.4
2020-08-04,35,2390,27.9
2020-08-05,26,2416,27.3
2020-08-06,26,2442,26.4
2020-08-07,26,2468,26.6
2020-08-08,28,2496,27.6
2020-08-09,24,2520,27.9
2020-08-10,30,2550,27.9
2020-08-11,21,2571,25.9
2020-08-12,32,2603,26.7
2020-08-13,18,2621,25.6
2020-08-14,21,2642,24.9
2020-08-15,16,2658,23.1
2020-08-16,16,2674,22
2020-08-17,22,2696,20.9
2020-08-18,23,2719,21.1
2020-08-19,22,2741,19.7
2020-08-20,38,2779,22.6
2020-08-21,19,2798,22.3
2020-08-22,18,2816,22.6
2020-08-23,15,2831,22.4
2020-08-24,30,2861,23.6
2020-08-25,23,2884,23.6
2020-08-26,28,2912,24.4
2020-08-27,23,2935,22.3
2020-08-28,21,2956,22.6
2020-08-29,14,2970,22
2020-08-30,20,2990,22.7
2020-08-31,17,3007,20.9
2020-09-01,16,3023,19.9
2020-09-02,25,3048,19.4
2020-09-03,23,3071,19.4
