"Date","Mortality Count","Cumulative Mortalities","Seven-day Average"
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,1,1,0.1
2020-03-23,0,1,0.1
2020-03-24,0,1,0.1
2020-03-25,0,1,0.1
2020-03-26,2,3,0.4
2020-03-27,1,4,0.6
2020-03-28,1,5,0.7
2020-03-29,2,7,0.9
2020-03-30,0,7,0.9
2020-03-31,2,9,1.1
2020-04-01,0,9,1.1
2020-04-02,1,10,1
2020-04-03,0,10,0.9
2020-04-04,5,15,1.4
2020-04-05,0,15,1.1
2020-04-06,0,15,1.1
2020-04-07,1,16,1
2020-04-08,1,17,1.1
2020-04-09,2,19,1.3
2020-04-10,3,22,1.7
2020-04-11,0,22,1
2020-04-12,0,22,1
2020-04-13,0,22,1
2020-04-14,1,23,1
2020-04-15,1,24,1
2020-04-16,1,25,0.9
2020-04-17,1,26,0.6
2020-04-18,3,29,1
2020-04-19,1,30,1.1
2020-04-20,5,35,1.9
2020-04-21,0,35,1.7
2020-04-22,2,37,1.9
2020-04-23,6,43,2.6
2020-04-24,0,43,2.4
2020-04-25,2,45,2.3
2020-04-26,1,46,2.3
2020-04-27,1,47,1.7
2020-04-28,0,47,1.7
2020-04-29,0,47,1.4
2020-04-30,3,50,1
2020-05-01,3,53,1.4
2020-05-02,3,56,1.6
2020-05-03,1,57,1.6
2020-05-04,1,58,1.6
2020-05-05,3,61,2
2020-05-06,3,64,2.4
2020-05-07,2,66,2.3
2020-05-08,4,70,2.4
2020-05-09,3,73,2.4
2020-05-10,2,75,2.6
2020-05-11,3,78,2.9
2020-05-12,1,79,2.6
2020-05-13,4,83,2.7
2020-05-14,3,86,2.9
2020-05-15,4,90,2.9
2020-05-16,3,93,2.9
2020-05-17,2,95,2.9
2020-05-18,3,98,2.9
2020-05-19,0,98,2.7
2020-05-20,2,100,2.4
2020-05-21,3,103,2.4
2020-05-22,2,105,2.1
2020-05-23,2,107,2
2020-05-24,2,109,2
2020-05-25,2,111,1.9
2020-05-26,1,112,2
2020-05-27,0,112,1.7
2020-05-28,4,116,1.9
2020-05-29,0,116,1.6
2020-05-30,2,118,1.6
2020-05-31,2,120,1.6
2020-06-01,3,123,1.7
2020-06-02,0,123,1.6
2020-06-03,3,126,2
2020-06-04,2,128,1.7
2020-06-05,0,128,1.7
2020-06-06,3,131,1.9
2020-06-07,3,134,2
2020-06-08,0,134,1.6
2020-06-09,5,139,2.3
2020-06-10,4,143,2.4
2020-06-11,1,144,2.3
2020-06-12,5,149,3
2020-06-13,1,150,2.7
2020-06-14,2,152,2.6
2020-06-15,1,153,2.7
2020-06-16,1,154,2.1
2020-06-17,5,159,2.3
2020-06-18,3,162,2.6
2020-06-19,2,164,2.1
2020-06-20,2,166,2.3
2020-06-21,2,168,2.3
2020-06-22,3,171,2.6
2020-06-23,1,172,2.6
2020-06-24,4,176,2.4
2020-06-25,1,177,2.1
2020-06-26,1,178,2
2020-06-27,3,181,2.1
2020-06-28,2,183,2.1
2020-06-29,3,186,2.1
2020-06-30,4,190,2.6
2020-07-01,3,193,2.4
2020-07-02,2,195,2.6
2020-07-03,3,198,2.9
2020-07-04,4,202,3
2020-07-05,6,208,3.6
2020-07-06,4,212,3.7
2020-07-07,7,219,4.1
2020-07-08,7,226,4.7
2020-07-09,4,230,5
2020-07-10,2,232,4.9
2020-07-11,6,238,5.1
2020-07-12,2,240,4.6
2020-07-13,4,244,4.6
2020-07-14,3,247,4
2020-07-15,5,252,3.7
2020-07-16,5,257,3.9
2020-07-17,5,262,4.3
2020-07-18,4,266,4
2020-07-19,6,272,4.6
2020-07-20,7,279,5
2020-07-21,6,285,5.4
2020-07-22,6,291,5.6
2020-07-23,9,300,6.1
2020-07-24,3,303,5.9
2020-07-25,4,307,5.9
2020-07-26,5,312,5.7
2020-07-27,2,314,5
2020-07-28,4,318,4.7
2020-07-29,6,324,4.7
2020-07-30,3,327,3.9
2020-07-31,2,329,3.7
2020-08-01,3,332,3.6
2020-08-02,6,338,3.7
2020-08-03,3,341,3.9
2020-08-04,3,344,3.7
2020-08-05,3,347,3.3
2020-08-06,5,352,3.6
2020-08-07,6,358,4.1
2020-08-08,3,361,4.1
2020-08-09,5,366,4
2020-08-10,3,369,4
2020-08-11,1,370,3.7
2020-08-12,7,377,4.3
2020-08-13,1,378,3.7
2020-08-14,4,382,3.4
2020-08-15,7,389,4
2020-08-16,2,391,3.6
2020-08-17,1,392,3.3
2020-08-18,2,394,3.4
2020-08-19,2,396,2.7
2020-08-20,2,398,2.9
2020-08-21,7,405,3.3
2020-08-22,2,407,2.6
2020-08-23,3,410,2.7
2020-08-24,2,412,2.9
2020-08-25,2,414,2.9
2020-08-26,0,414,2.6
2020-08-27,2,416,2.6
2020-08-28,0,416,1.6
2020-08-29,1,417,1.4
2020-08-30,1,418,1.1
2020-08-31,1,419,1
2020-09-01,4,423,1.3
2020-09-02,2,425,1.6
2020-09-03,5,430,2
2020-09-04,5,435,2.7
2020-09-05,1,436,2.7
2020-09-06,4,440,3.1
2020-09-07,1,441,3.1
2020-09-08,2,443,2.9
2020-09-09,0,443,2.6
2020-09-10,2,445,2.1
2020-09-11,1,446,1.6
2020-09-12,2,448,1.7
2020-09-13,1,449,1.3
2020-09-14,1,450,1.3
2020-09-15,0,450,1
2020-09-16,1,451,1.1
2020-09-17,1,452,1
2020-09-18,2,454,1.1
2020-09-19,1,455,1
2020-09-20,1,456,1
2020-09-21,2,458,1.1
2020-09-22,1,459,1.3
2020-09-23,4,463,1.7
2020-09-24,4,467,2.1
2020-09-25,5,472,2.6
2020-09-26,5,477,3.1
2020-09-27,1,478,3.1
2020-09-28,3,481,3.3
2020-09-29,2,483,3.4
2020-09-30,6,489,3.7
2020-10-01,5,494,3.9
2020-10-02,1,495,3.3
2020-10-03,8,503,3.7
2020-10-04,5,508,4.3
2020-10-05,3,511,4.3
2020-10-06,10,521,5.4
2020-10-07,8,529,5.7
2020-10-08,6,535,5.9
2020-10-09,5,540,6.4
2020-10-10,4,544,5.9
2020-10-11,7,551,6.1
2020-10-12,2,553,6
2020-10-13,3,556,5
2020-10-14,5,561,4.6
2020-10-15,6,567,4.6
2020-10-16,4,571,4.4
2020-10-17,5,576,4.6
2020-10-18,5,581,4.3
2020-10-19,1,582,4.1
2020-10-20,4,586,4.3
2020-10-21,11,597,5.1
