"County","Percent Compliant"
"Beaver","Suppressed"
"Box Elder","Suppressed"
"Cache","19"
"Carbon","16"
"Daggett","Suppressed"
"Davis","23"
"Duchesne","20"
"Emery","Suppressed"
"Garfield","Suppressed"
"Grand","31"
"Iron","8"
"Juab","15"
"Kane","Suppressed"
"Millard","100"
"Morgan","Suppressed"
"Piute","Suppressed"
"Rich","Suppressed"
"Salt Lake","26"
"San Juan","18"
"Sanpete","19"
"Sevier","14"
"Summit","26"
"Tooele","23"
"Uintah","15"
"Utah","18"
"Wasatch","23"
"Washington","17"
"Wayne","Suppressed"
"Weber","32"
