"Case Date","Total Cases","Breakthroughs (Vaccinated Cases)","Unvaccinated Cases"
2021-01-02,1846,0,1846
2021-01-03,2173,0,2173
2021-01-04,3390,0,3390
2021-01-05,3822,0,3822
2021-01-06,4624,0,4624
2021-01-07,3842,0,3842
2021-01-08,2630,0,2630
2021-01-09,2325,0,2325
2021-01-10,1474,0,1474
2021-01-11,2149,0,2149
2021-01-12,2918,0,2918
2021-01-13,2757,0,2757
2021-01-14,2424,0,2424
2021-01-15,2159,0,2159
2021-01-16,1581,0,1581
2021-01-17,1073,0,1073
2021-01-18,1308,0,1308
2021-01-19,2152,0,2152
2021-01-20,2094,0,2094
2021-01-21,2640,0,2640
2021-01-22,1764,0,1764
2021-01-23,1507,0,1507
2021-01-24,851,0,851
2021-01-25,1417,0,1417
2021-01-26,2014,0,2014
2021-01-27,1766,0,1766
2021-01-28,1510,0,1510
2021-01-29,1481,0,1481
2021-01-30,1190,0,1190
2021-01-31,585,0,585
2021-02-01,1200,0,1200
2021-02-02,1591,2,1589
2021-02-03,1273,0,1273
2021-02-04,1223,0,1223
2021-02-05,1208,0,1208
2021-02-06,913,2,911
2021-02-07,514,1,513
2021-02-08,930,0,930
2021-02-09,1304,0,1304
2021-02-10,1250,1,1249
2021-02-11,1042,1,1041
2021-02-12,943,2,941
2021-02-13,711,3,708
2021-02-14,463,1,462
2021-02-15,581,1,580
2021-02-16,897,1,896
2021-02-17,1148,0,1148
2021-02-18,858,3,855
2021-02-19,783,2,781
2021-02-20,705,0,705
2021-02-21,334,0,334
2021-02-22,714,3,711
2021-02-23,823,2,821
2021-02-24,833,9,824
2021-02-25,655,3,652
2021-02-26,687,4,683
2021-02-27,465,2,463
2021-02-28,263,3,260
2021-03-01,483,2,481
2021-03-02,723,6,717
2021-03-03,618,4,614
2021-03-04,553,3,550
2021-03-05,560,3,557
2021-03-06,416,3,413
2021-03-07,253,0,253
2021-03-08,558,10,548
2021-03-09,654,10,644
2021-03-10,662,4,658
2021-03-11,521,4,517
2021-03-12,494,2,492
2021-03-13,398,2,396
2021-03-14,221,3,218
2021-03-15,484,4,480
2021-03-16,695,11,684
2021-03-17,565,3,562
2021-03-18,447,5,442
2021-03-19,458,7,451
2021-03-20,372,6,366
2021-03-21,162,2,160
2021-03-22,386,5,381
2021-03-23,566,7,559
2021-03-24,532,9,523
2021-03-25,450,4,446
2021-03-26,453,7,446
2021-03-27,387,11,376
2021-03-28,192,3,189
2021-03-29,370,5,365
2021-03-30,521,7,514
2021-03-31,495,4,491
2021-04-01,425,6,419
2021-04-02,447,8,439
2021-04-03,343,5,338
