"Infection Source","Week Starting Date","Count","Total Cases","Percent"
"Community",2020-03-29,92,903,10.2
"Community",2020-04-05,59,717,8.2
"Community",2020-04-12,49,762,6.4
"Community",2020-04-19,71,1055,6.7
"Community",2020-04-26,76,1027,7.4
"Community",2020-05-03,93,1075,8.7
"Community",2020-05-10,147,990,14.8
"Community",2020-05-17,138,1161,11.9
"Community",2020-05-24,187,1430,13.1
"Community",2020-05-31,250,2274,11
"Community",2020-06-07,272,2240,12.1
"Community",2020-06-14,474,3195,14.8
"Community",2020-06-21,498,3631,13.7
"Community",2020-06-28,554,3930,14.1
"Community",2020-07-05,675,4644,14.5
"Community",2020-07-12,598,4531,13.2
"Community",2020-07-19,650,3822,17
"Community",2020-07-26,520,3174,16.4
"Community",2020-08-02,482,2919,16.5
"Community",2020-08-09,447,2533,17.6
"Community",2020-08-16,458,2479,18.5
"Community",2020-08-23,523,2778,18.8
"Community",2020-08-30,544,2844,19.1
"Community",2020-09-06,634,3283,19.3
"Community",2020-09-13,1002,5936,16.9
"Community",2020-09-20,1193,6951,17.2
"Community",2020-09-27,1253,7102,17.6
"Community",2020-10-04,1510,8289,18.2
"Community",2020-10-11,1582,8602,18.4
"Community",2020-10-18,1935,10668,18.1
"Community",2020-10-25,1843,11754,15.7
"Community",2020-11-01,2442,16382,14.9
"Community",2020-11-08,3220,21232,15.2
"Community",2020-11-15,3985,23515,16.9
"Community",2020-11-22,2854,16693,17.1
"Community",2020-11-29,3842,21752,17.7
"Community",2020-12-06,3495,18550,18.8
"Community",2020-12-13,3368,17275,19.5
"Community",2020-12-20,2776,14020,19.8
"Community",2020-12-27,3237,18725,17.3
"Community",2021-01-03,4008,22806,17.6
"Community",2021-01-10,2984,15462,19.3
"Community",2021-01-17,2585,12538,20.6
"Community",2021-01-24,2107,10229,20.6
"Community",2021-01-31,1736,7993,21.7
"Community",2021-02-07,1448,6694,21.6
"Community",2021-02-14,1160,5435,21.3
"Community",2021-02-21,991,4511,22
"Community",2021-02-28,854,3616,23.6
"Community",2021-03-07,804,3540,22.7
"Community",2021-03-14,813,3242,25.1
"Community",2021-03-21,658,2936,22.4
"Community",2021-03-28,657,2793,23.5
"Community",2021-04-04,709,2768,25.6
"Community",2021-04-11,623,2651,23.5
"Community",2021-04-18,616,2663,23.1
"Community",2021-04-25,602,2588,23.3
"Community",2021-05-02,620,2342,26.5
"Community",2021-05-09,527,2217,23.8
"Community",2021-05-16,403,1899,21.2
"Community",2021-05-23,412,1564,26.3
"Community",2021-05-30,413,1608,25.7
"Community",2021-06-06,497,1921,25.9
"Community",2021-06-13,490,2054,23.9
"Community",2021-06-20,557,2337,23.8
"Community",2021-06-27,660,2994,22
"Community",2021-07-04,710,2980,23.8
"Community",2021-07-11,857,3851,22.3
"Community",2021-07-18,1033,4590,22.5
"Community",2021-07-25,1224,5849,20.9
"Community",2021-08-01,1222,5879,20.8
"Community",2021-08-08,1362,6295,21.6
"Community",2021-08-15,1565,7353,21.3
"Community",2021-08-22,1639,8876,18.5
"Community",2021-08-29,1534,9866,15.5
