"Potential Exposure Source","Week Starting Date","Count","Total Cases","Percent"
"Household",2020-03-29,302,903,33.4
"Workplace",2020-03-29,111,903,12.3
"Social",2020-03-29,49,903,5.4
"Travel",2020-03-29,1,903,0.1
"Household",2020-04-05,299,717,41.7
"Workplace",2020-04-05,107,717,14.9
"Social",2020-04-05,27,717,3.8
"Travel",2020-04-05,1,717,0.1
"Household",2020-04-12,322,762,42.3
"Workplace",2020-04-12,130,762,17.1
"Social",2020-04-12,40,762,5.2
"Travel",2020-04-12,2,762,0.3
"Household",2020-04-19,508,1055,48.2
"Workplace",2020-04-19,225,1055,21.3
"Social",2020-04-19,57,1055,5.4
"Travel",2020-04-19,2,1055,0.2
"Household",2020-04-26,484,1027,47.1
"Workplace",2020-04-26,191,1027,18.6
"Social",2020-04-26,44,1027,4.3
"Travel",2020-04-26,1,1027,0.1
"Household",2020-05-03,465,1075,43.3
"Workplace",2020-05-03,233,1075,21.7
"Social",2020-05-03,58,1075,5.4
"Travel",2020-05-03,4,1075,0.4
"Household",2020-05-10,438,990,44.2
"Workplace",2020-05-10,149,990,15.1
"Social",2020-05-10,92,990,9.3
"Travel",2020-05-10,0,990,0
"Household",2020-05-17,517,1161,44.5
"Workplace",2020-05-17,176,1161,15.2
"Social",2020-05-17,78,1161,6.7
"Travel",2020-05-17,5,1161,0.4
"Household",2020-05-24,637,1430,44.5
"Workplace",2020-05-24,258,1430,18
"Social",2020-05-24,98,1430,6.9
"Travel",2020-05-24,4,1430,0.3
"Household",2020-05-31,898,2274,39.5
"Workplace",2020-05-31,571,2274,25.1
"Social",2020-05-31,128,2274,5.6
"Travel",2020-05-31,7,2274,0.3
"Household",2020-06-07,1005,2240,44.9
"Workplace",2020-06-07,396,2240,17.7
"Social",2020-06-07,113,2240,5
"Travel",2020-06-07,6,2240,0.3
"Household",2020-06-14,1364,3195,42.7
"Workplace",2020-06-14,388,3195,12.1
"Social",2020-06-14,186,3195,5.8
"Travel",2020-06-14,2,3195,0.1
"Household",2020-06-21,1536,3631,42.3
"Workplace",2020-06-21,431,3631,11.9
"Social",2020-06-21,190,3631,5.2
"Travel",2020-06-21,9,3631,0.2
"Household",2020-06-28,1652,3930,42
"Workplace",2020-06-28,419,3930,10.7
"Social",2020-06-28,201,3930,5.1
"Travel",2020-06-28,6,3930,0.2
"Household",2020-07-05,1832,4644,39.4
"Workplace",2020-07-05,349,4644,7.5
"Social",2020-07-05,210,4644,4.5
"Travel",2020-07-05,12,4644,0.3
"Household",2020-07-12,1766,4531,39
