"Week Date (Sunday)","Unvaccinated Cases","Breakthrough Cases","Unvaccinated Hospitalizations","Breakthrough Hospitalizations","Unvaccinated Deaths","Breakthrough Deaths","Vaccinated Case Rate","Vaccinated Hospitalization Rate","Vaccinated Mortality Rate","Unvaccinated Case Rate","Unvaccinated Hospitalization Rate","Unvaccinated Mortality Rate","Unvaccinated Population","Fully vaccinated Population"
2020-03-01,1,0,0,0,0,0,0,0,0,0.04,0,0,2643389,0
2020-03-08,13,0,5,0,0,0,0,0,0,0.49,0.19,0,2643389,0
2020-03-15,127,0,21,0,0,0,0,0,0,4.8,0.79,0,2643389,0
2020-03-22,540,0,55,0,5,0,0,0,0,20.43,2.08,0.19,2643389,0
2020-03-29,885,0,64,0,10,0,0,0,0,33.48,2.42,0.38,2643389,0
2020-04-05,695,0,64,0,7,0,0,0,0,26.29,2.42,0.26,2643389,0
2020-04-12,743,0,69,0,7,0,0,0,0,28.11,2.61,0.26,2643389,0
2020-04-19,1013,0,87,0,16,0,0,0,0,38.32,3.29,0.61,2643389,0
2020-04-26,980,0,90,0,11,0,0,0,0,37.07,3.4,0.42,2643389,0
2020-05-03,1006,0,85,0,17,0,0,0,0,38.06,3.22,0.64,2643389,0
2020-05-10,941,0,83,0,20,0,0,0,0,35.6,3.14,0.76,2643389,0
2020-05-17,1095,0,115,0,14,0,0,0,0,41.42,4.35,0.53,2643389,0
2020-05-24,1359,0,106,0,11,0,0,0,0,51.41,4.01,0.42,2643389,0
2020-05-31,2171,0,135,0,13,0,0,0,0,82.13,5.11,0.49,2643389,0
2020-06-07,2152,0,133,0,19,0,0,0,0,81.41,5.03,0.72,2643389,0
2020-06-14,3024,0,174,0,16,0,0,0,0,114.4,6.58,0.61,2643389,0
2020-06-21,3432,0,206,0,15,0,0,0,0,129.83,7.79,0.57,2643389,0
2020-06-28,3734,0,224,0,21,0,0,0,0,141.26,8.47,0.79,2643389,0
2020-07-05,4426,0,235,0,36,0,0,0,0,167.44,8.89,1.36,2643389,0
2020-07-12,4299,0,191,0,28,0,0,0,0,162.63,7.23,1.06,2643389,0
2020-07-19,3627,0,196,0,41,0,0,0,0,137.21,7.41,1.55,2643389,0
2020-07-26,3014,0,209,0,25,0,0,0,0,114.02,7.91,0.95,2643389,0
2020-08-02,2768,0,203,0,29,0,0,0,0,104.71,7.68,1.1,2643389,0
2020-08-09,2402,0,169,0,28,0,0,0,0,90.87,6.39,1.06,2643389,0
2020-08-16,2350,0,173,0,18,0,0,0,0,88.9,6.54,0.68,2643389,0
2020-08-23,2616,0,162,0,10,0,0,0,0,98.96,6.13,0.38,2643389,0
2020-08-30,2708,0,152,0,19,0,0,0,0,102.44,5.75,0.72,2643389,0
2020-09-06,3149,0,156,0,12,0,0,0,0,119.13,5.9,0.45,2643389,0
2020-09-13,5713,0,229,0,7,0,0,0,0,216.12,8.66,0.26,2643389,0
2020-09-20,6662,0,252,0,22,0,0,0,0,252.02,9.53,0.83,2643389,0
2020-09-27,6709,0,272,0,26,0,0,0,0,253.8,10.29,0.98,2643389,0
2020-10-04,7872,0,365,0,41,0,0,0,0,297.8,13.81,1.55,2643389,0
2020-10-11,8040,0,395,0,32,0,0,0,0,304.16,14.94,1.21,2643389,0
2020-10-18,10046,0,419,0,35,0,0,0,0,380.04,15.85,1.32,2643389,0
2020-10-25,11073,0,470,0,53,0,0,0,0,418.89,17.78,2.01,2643389,0
2020-11-01,15480,0,554,0,70,0,0,0,0,585.61,20.96,2.65,2643389,0
2020-11-08,19993,0,645,0,76,0,0,0,0,756.34,24.4,2.88,2643389,0
2020-11-15,21894,0,680,0,109,0,0,0,0,828.25,25.72,4.12,2643389,0
2020-11-22,15549,0,573,0,113,0,0,0,0,588.22,21.68,4.27,2643389,0
2020-11-29,20206,1,640,0,125,0,Inf,0,0,764.4,24.21,4.73,2643389,0
2020-12-06,17292,0,559,0,130,0,0,0,0,654.16,21.15,4.92,2643389,0
2020-12-13,16011,0,575,0,122,0,0,0,0,605.7,21.75,4.62,2643389,0
2020-12-20,13063,1,519,0,95,0,Inf,0,0,494.18,19.63,3.59,2643389,0
2020-12-27,17422,0,527,0,93,0,0,0,0,659.08,19.94,3.52,2643389,0
2021-01-03,20955,0,654,0,108,0,0,0,0,792.73,24.74,4.09,2643388,1
2021-01-10,14266,0,573,0,100,0,0,0,0,539.69,21.68,3.78,2643388,1
2021-01-17,11544,0,454,0,100,0,0,0,0,436.95,17.18,3.78,2641982,1407
