"School","District","Enrollment","Students enrolled in the school - active student cases","Students enrolled in the school - % of students testing positive","School-associated cases - active student cases","School-Associated cases - all cases (last 14 days)","School-associated cases - all cases 2021-2022 school year","School-associated cases % of students testing positive"
"Park City High","Park City District","1248","66","5.3%","35","35","80","2.8%"
"Olympus High","Granite District","2168","45","2.1%","11","14","62","0.5%"
"Murray High","Murray District","1449","44","3%","16","20","55","1.1%"
"Farmington High","Davis District","1918","44","2.3%","28","28","123","1.5%"
"Brighton High","Canyons District","2184","42","1.9%","11","11","81","0.5%"
"Wasatch High","Wasatch District","2378","39","1.6%","10","10","122","0.4%"
"Skyline High","Granite District","2134","38","1.8%","10","12","68","0.5%"
"Copper Hills High","Jordan District","2789","38","1.4%","15","16","131","0.5%"
"Granger High","Granite District","3287","36","1.1%","5","7","91","0.2%"
"Riverton High","Jordan District","2172","34","1.6%","16","17","96","0.7%"
"Corner Canyon High","Canyons District","2372","34","1.4%","13","15","82","0.5%"
"West High","Salt Lake District","2809","34","1.2%","9","9","74","0.3%"
"Hillcrest High","Canyons District","2125","32","1.5%","5","5","86","0.2%"
"Jordan High","Canyons District","1953","32","1.6%","9","9","64","0.5%"
"Mountain Ridge High ","Jordan District","2084","31","1.5%","14","16","110","0.7%"
"Bingham High","Jordan District","2458","31","1.3%","13","13","99","0.5%"
"Cyprus High","Granite District","2654","31","1.2%","6","7","85","0.2%"
"Highland High","Salt Lake District","1861","30","1.6%","17","18","71","0.9%"
"Cottonwood high/Academy for Math Engineering & Science","Granite District","2135","30","1.4%","<5","<5","69","<5 student cases"
"Alta High","Canyons District","2323","29","1.2%","6","7","85","0.3%"
"Taylorsville High","Granite District","1954","29","1.5%","8","10","101","0.4%"
"Viewmont High","Davis District","1395","27","1.9%","11","13","77","0.8%"
"Blue Peak High/Tooele Community Learning Center","Tooele District","3432","27","0.8%","<5","<5","28","<5 student cases"
"Davis High","Davis District","2044","25","1.2%","15","17","117","0.7%"
"Clearfield High","Davis District","1955","25","1.3%","15","15","151","0.8%"
"Lone Peak High","Alpine District","2559","24","0.9%","<5","<5","49","<5 student cases"
"Layton High","Davis District","2020","24","1.2%","12","14","119","0.6%"
