"Week","Cases","Total","Percent","Status"
2020-03-15,2,2,"100%","Not school-associated/attendance pending"
2020-03-22,8,8,"100%","Not school-associated/attendance pending"
2020-03-29,26,26,"100%","Not school-associated/attendance pending"
2020-04-05,40,40,"100%","Not school-associated/attendance pending"
2020-04-12,28,28,"100%","Not school-associated/attendance pending"
2020-04-19,84,84,"100%","Not school-associated/attendance pending"
2020-04-26,75,75,"100%","Not school-associated/attendance pending"
2020-05-03,108,108,"100%","Not school-associated/attendance pending"
2020-05-10,103,103,"100%","Not school-associated/attendance pending"
2020-05-17,131,131,"100%","Not school-associated/attendance pending"
2020-05-24,146,146,"100%","Not school-associated/attendance pending"
2020-05-31,195,195,"100%","Not school-associated/attendance pending"
2020-06-07,211,211,"100%","Not school-associated/attendance pending"
2020-06-14,332,332,"100%","Not school-associated/attendance pending"
2020-06-21,376,376,"100%","Not school-associated/attendance pending"
2020-06-28,379,379,"100%","Not school-associated/attendance pending"
2020-07-05,521,521,"100%","Not school-associated/attendance pending"
2020-07-12,501,501,"100%","Not school-associated/attendance pending"
2020-07-19,409,409,"100%","Not school-associated/attendance pending"
2020-07-26,368,368,"100%","Not school-associated/attendance pending"
2020-08-02,350,352,"99.4%","Not school-associated/attendance pending"
2020-08-02,2,352,"0.6%","School-associated"
2020-08-09,300,311,"96.5%","Not school-associated/attendance pending"
2020-08-09,11,311,"3.5%","School-associated"
2020-08-16,260,295,"88.1%","Not school-associated/attendance pending"
2020-08-16,35,295,"11.9%","School-associated"
2020-08-23,216,337,"64.1%","Not school-associated/attendance pending"
2020-08-23,121,337,"35.9%","School-associated"
2020-08-30,132,332,"39.8%","Not school-associated/attendance pending"
2020-08-30,200,332,"60.2%","School-associated"
2020-09-06,146,391,"37.3%","Not school-associated/attendance pending"
2020-09-06,245,391,"62.7%","School-associated"
2020-09-13,227,738,"30.8%","Not school-associated/attendance pending"
2020-09-13,511,738,"69.2%","School-associated"
2020-09-20,321,906,"35.4%","Not school-associated/attendance pending"
2020-09-20,585,906,"64.6%","School-associated"
2020-09-27,392,1031,"38%","Not school-associated/attendance pending"
2020-09-27,639,1031,"62%","School-associated"
2020-10-04,403,1062,"37.9%","Not school-associated/attendance pending"
2020-10-04,659,1062,"62.1%","School-associated"
2020-10-11,499,1256,"39.7%","Not school-associated/attendance pending"
2020-10-11,757,1256,"60.3%","School-associated"
2020-10-18,614,1490,"41.2%","Not school-associated/attendance pending"
2020-10-18,876,1490,"58.8%","School-associated"
2020-10-25,707,1597,"44.3%","Not school-associated/attendance pending"
2020-10-25,890,1597,"55.7%","School-associated"
2020-11-01,966,2269,"42.6%","Not school-associated/attendance pending"
2020-11-01,1303,2269,"57.4%","School-associated"
