"Date","Age","Case Count","Daily Rate per 100k","Seven-day Average Case Rate"
2020-03-15,"11-13 years",0,0,NA
2020-03-15,"14-17 years",1,0.468118771094602,NA
2020-03-15,"5-10 years",0,0,NA
2020-03-21,"11-13 years",0,0,NA
2020-03-21,"14-17 years",0,0,NA
2020-03-21,"5-10 years",1,0.321002555180339,NA
2020-03-22,"11-13 years",0,0,NA
2020-03-22,"14-17 years",0,0,NA
2020-03-22,"5-10 years",1,0.321002555180339,NA
2020-03-24,"11-13 years",0,0,NA
2020-03-24,"14-17 years",1,0.468118771094602,NA
2020-03-24,"5-10 years",1,0.321002555180339,NA
2020-03-26,"11-13 years",1,0.615771130186332,NA
2020-03-26,"14-17 years",2,0.936237542189204,NA
2020-03-26,"5-10 years",0,0,NA
2020-03-27,"11-13 years",0,0,NA
2020-03-27,"14-17 years",1,0.468118771094602,NA
2020-03-27,"5-10 years",0,0,NA
2020-03-28,"11-13 years",1,0.615771130186332,NA
2020-03-28,"14-17 years",0,0,NA
2020-03-28,"5-10 years",0,0,NA
2020-03-29,"11-13 years",2,1.23154226037266,0.4
2020-03-29,"14-17 years",0,0,0.3
2020-03-29,"5-10 years",0,0,0.1
2020-03-31,"11-13 years",1,0.615771130186332,0.4
2020-03-31,"14-17 years",1,0.468118771094602,0.3
2020-03-31,"5-10 years",0,0,0.1
2020-04-02,"11-13 years",1,0.615771130186332,0.5
2020-04-02,"14-17 years",4,1.87247508437841,0.6
2020-04-02,"5-10 years",0,0,0
2020-04-03,"11-13 years",2,1.23154226037266,0.7
2020-04-03,"14-17 years",4,1.87247508437841,0.8
2020-04-03,"5-10 years",2,0.642005110360678,0.1
2020-04-04,"11-13 years",2,1.23154226037266,0.8
2020-04-04,"14-17 years",6,2.80871262656761,1.1
2020-04-04,"5-10 years",1,0.321002555180339,0.1
2020-04-05,"11-13 years",0,0,0.8
2020-04-05,"14-17 years",1,0.468118771094602,1.1
2020-04-05,"5-10 years",0,0,0.1
2020-04-06,"11-13 years",0,0,0.7
2020-04-06,"14-17 years",2,0.936237542189204,1.2
2020-04-06,"5-10 years",0,0,0.1
2020-04-07,"11-13 years",3,1.847313390559,0.8
2020-04-07,"14-17 years",1,0.468118771094602,1.3
2020-04-07,"5-10 years",3,0.963007665541018,0.3
2020-04-08,"11-13 years",0,0,0.7
2020-04-08,"14-17 years",6,2.80871262656761,1.6
2020-04-08,"5-10 years",2,0.642005110360678,0.4
2020-04-09,"11-13 years",2,1.23154226037266,0.8
2020-04-09,"14-17 years",4,1.87247508437841,1.6
2020-04-09,"5-10 years",5,1.6050127759017,0.6
2020-04-10,"11-13 years",1,0.615771130186332,0.7
2020-04-10,"14-17 years",4,1.87247508437841,1.6
2020-04-10,"5-10 years",0,0,0.5
2020-04-11,"11-13 years",1,0.615771130186332,0.6
2020-04-11,"14-17 years",4,1.87247508437841,1.5
2020-04-11,"5-10 years",1,0.321002555180339,0.5
2020-04-12,"11-13 years",1,0.615771130186332,0.7
2020-04-12,"14-17 years",1,0.468118771094602,1.5
2020-04-12,"5-10 years",0,0,0.5
2020-04-14,"11-13 years",0,0,0.7
2020-04-14,"14-17 years",1,0.468118771094602,1.4
2020-04-14,"5-10 years",1,0.321002555180339,0.6
2020-04-15,"11-13 years",0,0,0.4
2020-04-15,"14-17 years",1,0.468118771094602,1.4
2020-04-15,"5-10 years",3,0.963007665541018,0.6
2020-04-16,"11-13 years",2,1.23154226037266,0.6
2020-04-16,"14-17 years",5,2.34059385547301,1.3
2020-04-16,"5-10 years",0,0,0.5
2020-04-17,"11-13 years",1,0.615771130186332,0.5
2020-04-17,"14-17 years",3,1.40435631328381,1.3
2020-04-17,"5-10 years",2,0.642005110360678,0.3
2020-04-18,"11-13 years",1,0.615771130186332,0.5
2020-04-18,"14-17 years",4,1.87247508437841,1.3
2020-04-18,"5-10 years",2,0.642005110360678,0.4
2020-04-19,"11-13 years",2,1.23154226037266,0.6
2020-04-19,"14-17 years",6,2.80871262656761,1.4
2020-04-19,"5-10 years",3,0.963007665541018,0.5
2020-04-20,"11-13 years",1,0.615771130186332,0.6
2020-04-20,"14-17 years",5,2.34059385547301,1.7
2020-04-20,"5-10 years",2,0.642005110360678,0.6
2020-04-21,"11-13 years",5,3.07885565093166,1.1
2020-04-21,"14-17 years",4,1.87247508437841,1.9
2020-04-21,"5-10 years",2,0.642005110360678,0.6
2020-04-22,"11-13 years",1,0.615771130186332,1.1
2020-04-22,"14-17 years",7,3.27683139766221,2.3
2020-04-22,"5-10 years",4,1.28401022072136,0.7
2020-04-23,"11-13 years",1,0.615771130186332,1.1
2020-04-23,"14-17 years",5,2.34059385547301,2.3
2020-04-23,"5-10 years",2,0.642005110360678,0.8
2020-04-24,"11-13 years",2,1.23154226037266,1.1
2020-04-24,"14-17 years",14,6.55366279532443,3
2020-04-24,"5-10 years",5,1.6050127759017,0.9
2020-04-25,"11-13 years",2,1.23154226037266,1.2
2020-04-25,"14-17 years",7,3.27683139766221,3.2
2020-04-25,"5-10 years",4,1.28401022072136,1
2020-04-26,"11-13 years",3,1.847313390559,1.3
2020-04-26,"14-17 years",3,1.40435631328381,3
2020-04-26,"5-10 years",4,1.28401022072136,1.1
2020-04-27,"11-13 years",0,0,1.2
2020-04-27,"14-17 years",0,0,2.7
2020-04-27,"5-10 years",1,0.321002555180339,1
2020-04-28,"11-13 years",4,2.46308452074533,1.1
2020-04-28,"14-17 years",7,3.27683139766221,2.9
2020-04-28,"5-10 years",3,0.963007665541018,1.1
2020-04-29,"11-13 years",4,2.46308452074533,1.4
2020-04-29,"14-17 years",7,3.27683139766221,2.9
2020-04-29,"5-10 years",5,1.6050127759017,1.1
