"Date","Age","Case Count","Daily Rate per 100k","Seven-day Average Case Rate"
2020-02-28,NA,0,NA,NA
2020-02-29,NA,0,NA,NA
2020-03-01,NA,0,NA,NA
2020-03-02,NA,0,NA,NA
2020-03-03,NA,0,NA,NA
2020-03-04,NA,0,NA,NA
2020-03-05,NA,0,NA,NA
2020-03-06,NA,0,NA,NA
2020-03-07,NA,0,NA,NA
2020-03-08,NA,0,NA,NA
2020-03-09,NA,0,NA,NA
2020-03-10,NA,0,NA,NA
2020-03-11,NA,0,NA,NA
2020-03-12,NA,0,NA,NA
2020-03-13,NA,0,NA,NA
2020-03-14,NA,0,NA,NA
2020-03-15,"12-17 years",1,0.309802779550538,NA
2020-03-15,"5-11 years",0,0,NA
2020-03-16,NA,0,NA,NA
2020-03-17,NA,0,NA,NA
2020-03-18,NA,0,NA,NA
2020-03-19,NA,0,NA,NA
2020-03-20,NA,0,NA,NA
2020-03-21,"12-17 years",0,0,NA
2020-03-21,"5-11 years",1,0.274155122451385,NA
2020-03-22,"12-17 years",0,0,NA
2020-03-22,"5-11 years",1,0.274155122451385,NA
2020-03-23,NA,0,NA,NA
2020-03-24,"12-17 years",1,0.309802779550538,NA
2020-03-24,"5-11 years",1,0.274155122451385,NA
2020-03-25,NA,0,NA,NA
2020-03-26,"12-17 years",3,0.929408338651614,NA
2020-03-26,"5-11 years",0,0,NA
2020-03-27,"12-17 years",1,0.309802779550538,NA
2020-03-27,"5-11 years",0,0,NA
2020-03-28,"12-17 years",1,0.309802779550538,NA
2020-03-28,"5-11 years",0,0,NA
2020-03-29,"12-17 years",0,0,0.3
2020-03-29,"5-11 years",2,0.548310244902771,0.2
2020-03-30,NA,0,NA,NA
2020-03-31,"12-17 years",2,0.619605559101076,0.4
2020-03-31,"5-11 years",0,0,0.2
2020-04-01,NA,0,NA,NA
2020-04-02,"12-17 years",5,1.54901389775269,0.6
2020-04-02,"5-11 years",0,0,0.1
2020-04-03,"12-17 years",4,1.23921111820215,0.7
2020-04-03,"5-11 years",4,1.09662048980554,0.2
2020-04-04,"12-17 years",8,2.47842223640431,0.9
2020-04-04,"5-11 years",1,0.274155122451385,0.3
2020-04-05,"12-17 years",1,0.309802779550538,0.9
2020-04-05,"5-11 years",0,0,0.3
2020-04-06,"12-17 years",2,0.619605559101076,1
2020-04-06,"5-11 years",0,0,0.3
2020-04-07,"12-17 years",4,1.23921111820215,1.2
2020-04-07,"5-11 years",3,0.822465367354156,0.3
