"County","Week Date","7-day average percent positivity by county"
"State",2020-03-16,3.28
"State",2020-03-17,3.57
"State",2020-03-18,3.78
"State",2020-03-19,4.22
"State",2020-03-20,4.47
"State",2020-03-21,4.73
"State",2020-03-22,4.93
"State",2020-03-23,5.6
"State",2020-03-24,5.56
"State",2020-03-25,5.44
"State",2020-03-26,5.28
"State",2020-03-27,5.18
"State",2020-03-28,5.04
"State",2020-03-29,4.94
"State",2020-03-30,4.93
"State",2020-03-31,4.92
"State",2020-04-01,4.92
"State",2020-04-02,4.89
"State",2020-04-03,4.87
"State",2020-04-04,4.84
"State",2020-04-05,5.08
"State",2020-04-06,4.95
"State",2020-04-07,4.89
"State",2020-04-08,4.88
"State",2020-04-09,5.03
"State",2020-04-10,5.18
"State",2020-04-11,5.27
"State",2020-04-12,5
"State",2020-04-13,5.48
"State",2020-04-14,4.94
"State",2020-04-15,4.45
"State",2020-04-16,3.67
"State",2020-04-17,3.41
"State",2020-04-18,3.32
"State",2020-04-19,3.4
"State",2020-04-20,3.09
"State",2020-04-21,3.23
"State",2020-04-22,3.13
"State",2020-04-23,3.51
"State",2020-04-24,3.66
"State",2020-04-25,3.7
"State",2020-04-26,3.64
"State",2020-04-27,3.73
"State",2020-04-28,3.72
"State",2020-04-29,4.02
"State",2020-04-30,4.18
"State",2020-05-01,4.22
"State",2020-05-02,4.32
"State",2020-05-03,4.4
"State",2020-05-04,4.45
"State",2020-05-05,4.41
"State",2020-05-06,4.44
"State",2020-05-07,4.16
"State",2020-05-08,4.1
"State",2020-05-09,4.07
"State",2020-05-10,3.96
"State",2020-05-11,3.91
"State",2020-05-12,4.1
"State",2020-05-13,4.27
"State",2020-05-14,4.62
"State",2020-05-15,4.67
"State",2020-05-16,4.73
"State",2020-05-17,4.84
"State",2020-05-18,5.18
"State",2020-05-19,5.04
"State",2020-05-20,4.94
"State",2020-05-21,4.84
"State",2020-05-22,5.03
"State",2020-05-23,5.07
"State",2020-05-24,5.05
"State",2020-05-25,5.02
"State",2020-05-26,5.99
"State",2020-05-27,6.27
"State",2020-05-28,6.57
"State",2020-05-29,6.74
"State",2020-05-30,7.8
"State",2020-05-31,8.2
"State",2020-06-01,8.4
"State",2020-06-02,8.41
"State",2020-06-03,8.87
"State",2020-06-04,9.08
"State",2020-06-05,9.26
"State",2020-06-06,8.63
"State",2020-06-07,8.24
"State",2020-06-08,8.17
"State",2020-06-09,8.04
"State",2020-06-10,7.97
"State",2020-06-11,8.29
"State",2020-06-12,8.31
"State",2020-06-13,8.48
"State",2020-06-14,8.72
"State",2020-06-15,9.22
"State",2020-06-16,9.81
"State",2020-06-17,10.07
"State",2020-06-18,10.22
"State",2020-06-19,10.59
"State",2020-06-20,10.57
"State",2020-06-21,10.55
"State",2020-06-22,10.44
"State",2020-06-23,10.08
"State",2020-06-24,10.38
"State",2020-06-25,10.12
"State",2020-06-26,9.89
"State",2020-06-27,9.71
"State",2020-06-28,9.92
"State",2020-06-29,9.97
"State",2020-06-30,10.25
"State",2020-07-01,10.05
"State",2020-07-02,10.01
"State",2020-07-03,10.12
"State",2020-07-04,10.31
"State",2020-07-05,10.2
"State",2020-07-06,10.43
"State",2020-07-07,10.36
"State",2020-07-08,10.4
"State",2020-07-09,10.48
"State",2020-07-10,10.41
"State",2020-07-11,10.44
"State",2020-07-12,10.32
"State",2020-07-13,10.15
"State",2020-07-14,9.88
"State",2020-07-15,9.71
"State",2020-07-16,9.6
"State",2020-07-17,9.52
"State",2020-07-18,9.31
"State",2020-07-19,9.39
"State",2020-07-20,9.25
"State",2020-07-21,9.63
"State",2020-07-22,9.73
"State",2020-07-23,9.65
"State",2020-07-24,9.77
"State",2020-07-25,10.06
"State",2020-07-26,10.08
"State",2020-07-27,10.15
"State",2020-07-28,9.94
"State",2020-07-29,9.97
"State",2020-07-30,10.25
"State",2020-07-31,10.11
"State",2020-08-01,9.62
"State",2020-08-02,9.49
"State",2020-08-03,9.34
"State",2020-08-04,9.11
"State",2020-08-05,9
"State",2020-08-06,8.82
"State",2020-08-07,8.75
"State",2020-08-08,8.87
"State",2020-08-09,8.95
"State",2020-08-10,9.21
"State",2020-08-11,9.27
"State",2020-08-12,8.9
"State",2020-08-13,8.91
"State",2020-08-14,8.86
"State",2020-08-15,8.92
"State",2020-08-16,8.73
"State",2020-08-17,8.31
"State",2020-08-18,8.36
"State",2020-08-19,8.7
"State",2020-08-20,8.79
"State",2020-08-21,8.74
"State",2020-08-22,8.9
"State",2020-08-23,9.16
"State",2020-08-24,9.31
"State",2020-08-25,9.27
"State",2020-08-26,9.25
"State",2020-08-27,9.22
"State",2020-08-28,9.48
"State",2020-08-29,9.55
"State",2020-08-30,9.47
"State",2020-08-31,9.6
"State",2020-09-01,9.54
"State",2020-09-02,9.39
"State",2020-09-03,9.35
"State",2020-09-04,9.4
"State",2020-09-05,9.32
"State",2020-09-06,9.61
"State",2020-09-07,9.68
"State",2020-09-08,10.19
"State",2020-09-09,11.03
"State",2020-09-10,11.59
"State",2020-09-11,12.33
"State",2020-09-12,12.88
"State",2020-09-13,13.13
"State",2020-09-14,13.6
"State",2020-09-15,14.2
"State",2020-09-16,14.57
"State",2020-09-17,14.92
"State",2020-09-18,15.03
"State",2020-09-19,14.94
