"Name","14 Day Total Cases","14 Day Rate / 100k","Level","Data Note"
"1-1 Brigham City","179","686.35","Very High Rate (>200)","Stable"
"12-10 Riverdale","352","1239.83","Very High Rate (>200)","Stable"
"3-11 Clearfield Area/Hooper","922","1235.79","Very High Rate (>200)","Stable"
"3-12 Layton/South Weber","1151","1340.66","Very High Rate (>200)","Stable"
"3-13.1 Kaysville/Fruit Heights","721","1803.72","Very High Rate (>200)","Stable"
"3-13.2 Syracuse","415","1329.15","Very High Rate (>200)","Stable"
"3-14.1 Centerville","255","1408.76","Very High Rate (>200)","Stable"
"3-14.2 Farmington","553","2265","Very High Rate (>200)","Stable"
"3-15.1 North Salt Lake","427","2005.35","Very High Rate (>200)","Stable"
"3-15.2 Woods Cross/West Bountiful","215","1382.64","Very High Rate (>200)","Stable"
"3-16 Bountiful","790","1633.41","Very High Rate (>200)","Stable"
"4-17 Salt Lake City (Rose Park)","650","1730.38","Very High Rate (>200)","Stable"
"4-18 Salt Lake City (Avenues)","536","2248.7","Very High Rate (>200)","Stable"
"4-19.1 Salt Lake City (Foothill/East Bench)","484","2280.87","Very High Rate (>200)","Stable"
"1-2.2 Tremonton","128","703.8","Very High Rate (>200)","Stable"
"4-20 Magna","476","1676.59","Very High Rate (>200)","Stable"
"4-21.1 Salt Lake City (Glendale) V2","369","1488.68","Very High Rate (>200)","Stable"
"4-22.1 West Valley (Center)","889","1738.71","Very High Rate (>200)","Stable"
"4-22.2 West Valley (West) V2","481","1503.74","Very High Rate (>200)","Stable"
"4-23.1 West Valley (East) V2","866","1663.4","Very High Rate (>200)","Stable"
"4-24.1 Salt Lake City (Downtown) V2","914","2323.51","Very High Rate (>200)","Stable"
"4-24.2 Salt Lake City (Southeast Liberty)","475","2171.33","Very High Rate (>200)","Stable"
"4-25 South Salt Lake","556","2069.3","Very High Rate (>200)","Stable"
"4-26.1 Salt Lake City (Sugar House)","732","2057.97","Very High Rate (>200)","Stable"
"4-26.2 Millcreek (South)","388","1824.85","Very High Rate (>200)","Stable"
"4-26.3 Millcreek (East)","497","2070.66","Very High Rate (>200)","Stable"
"4-27.1 Holladay V2","469","1890.98","Very High Rate (>200)","Stable"
"4-28 Cottonwood","862","2056.64","Very High Rate (>200)","Stable"
"4-29.1 Kearns V2","749","1851.94","Very High Rate (>200)","Stable"
"1-3.1 Logan V2","844","1432.11","Very High Rate (>200)","Stable"
"1-3.2 North Logan","384","1576.1","Very High Rate (>200)","Stable"
"4-30 Taylorsville (East)/Murray (West)","683","1814.22","Very High Rate (>200)","Stable"
"4-30.1 Taylorsville (West)","683","1782.64","Very High Rate (>200)","Stable"
"4-31 Murray","678","1894.49","Very High Rate (>200)","Stable"
"4-32 Midvale","782","2359.19","Very High Rate (>200)","Stable"
"4-33.2 West Jordan (Northeast) V2","482","1539.4","Very High Rate (>200)","Stable"
"4-34.1 West Jordan (Southeast)","659","1738.79","Very High Rate (>200)","Stable"
"4-34.2 West Jordan (West)/Copperton","965","1855.45","Very High Rate (>200)","Stable"
"4-35.1 South Jordan V2","625","1519.68","Very High Rate (>200)","Stable"
"4-35.2 Daybreak","756","1919.03","Very High Rate (>200)","Stable"
"4-36.1 Sandy (West)","541","1745.61","Very High Rate (>200)","Stable"
"4-36.2 Sandy (Center) V2","478","1632.18","Very High Rate (>200)","Stable"
"4-37 Sandy (Northeast)","457","1978.7","Very High Rate (>200)","Stable"
"4-38 Sandy (Southeast)","495","1604.38","Very High Rate (>200)","Stable"
