"vaccine_date","Delivered","Vaccines Administered","People Fully Vaccinated","People Received at Least One Dose","People Received Booster Dose","Cumulative Vaccines Administered","Cumulative People Fully Vaccinated","Cumulative Deliveries","Cumulative People Received at Least One Dose","Cumulative People Received Booster Dose","Seven-day Average"
2020-12-14,2925,0,0,0,0,0,0,2925,0,0,NA
2020-12-15,6825,157,0,157,0,157,0,9750,157,0,NA
2020-12-16,0,481,0,481,0,638,0,9750,638,0,NA
2020-12-17,13650,2685,0,2685,0,3323,0,23400,3323,0,NA
2020-12-18,0,3283,0,3283,0,6606,0,23400,6606,0,NA
2020-12-19,0,961,1,960,0,7567,1,23400,7566,0,NA
2020-12-20,0,4,0,4,0,7571,1,23400,7570,0,NA
2020-12-21,1600,3921,0,3921,0,11492,1,25000,11491,0,1641.7
2020-12-22,5325,3036,0,3036,0,14528,1,30325,14527,0,2053
2020-12-23,55600,4404,0,4403,0,18932,1,85925,18930,0,2613.4
2020-12-24,0,1392,0,1392,0,20324,1,85925,20322,0,2428.7
2020-12-25,0,23,0,23,0,20347,1,85925,20345,0,1963
2020-12-26,0,534,0,534,0,20881,1,85925,20879,0,1902
2020-12-27,0,59,0,59,0,20940,1,85925,20938,0,1909.9
2020-12-28,21900,5972,0,5972,0,26912,1,107825,26910,0,2202.9
2020-12-29,6875,9850,0,9849,0,36762,1,114700,36759,0,3176.3
2020-12-30,33550,13017,0,13016,0,49779,1,148250,49775,0,4406.7
2020-12-31,0,6527,0,6527,0,56306,1,148250,56302,0,5140.3
2021-01-01,0,187,1,186,0,56493,2,148250,56488,0,5163.7
2021-01-02,0,1787,2,1785,0,58280,4,148250,58273,0,5342.7
2021-01-03,0,603,0,603,0,58883,4,148250,58876,0,5420.4
2021-01-04,16000,6965,302,6663,0,65848,306,164250,65539,0,5562.3
2021-01-05,13825,9836,557,9278,0,75684,863,178075,74817,0,5560.3
2021-01-06,19500,11646,546,11098,0,87330,1409,197575,85915,0,5364.4
2021-01-07,0,10849,2000,8847,0,98179,3409,197575,94762,0,5981.9
2021-01-08,16425,10478,1700,8776,0,108657,5109,214000,103538,0,7452
2021-01-09,0,2420,492,1927,0,111077,5601,214000,105465,0,7542.4
2021-01-10,0,886,0,886,0,111963,5601,214000,106351,0,7582.9
2021-01-11,4685,9343,2591,6751,0,121306,8192,218685,113102,0,7922.6
2021-01-12,47300,12468,1706,10758,0,133774,9898,265985,123860,0,8298.6
2021-01-13,10250,11609,2467,9139,0,145383,12365,276235,132999,0,8293.3
2021-01-14,975,10435,1344,9090,0,155818,13709,277210,142089,0,8234.1
2021-01-15,1775,14556,1798,12756,0,170374,15507,278985,154845,0,8816.7
2021-01-16,0,7119,157,6961,0,177493,15664,278985,161806,0,9488
2021-01-17,0,853,2,851,0,178346,15666,278985,162657,0,9483.3
2021-01-18,12425,3521,1112,2407,0,181867,16778,291410,165064,0,8651.6
2021-01-19,39400,12778,2811,9965,0,194645,19589,330810,175029,0,8695.9
2021-01-20,18025,15522,3954,11556,0,210167,23543,348835,186585,0,9254.9
2021-01-21,5700,13962,3585,10373,0,224129,27128,354535,196958,0,9758.7
2021-01-22,0,13329,3025,10301,0,237458,30153,354535,207259,0,9583.4
2021-01-23,0,6208,1077,5131,0,243666,31230,354535,212390,0,9453.3
2021-01-24,0,690,353,336,0,244356,31583,354535,212726,0,9430
2021-01-25,33625,7527,4612,2909,0,251883,36195,388160,215635,0,10002.3
2021-01-26,21400,14703,5705,8988,0,266586,41900,409560,224623,0,10277.3
2021-01-27,5775,18425,7794,10625,0,285011,49694,415335,235248,0,10692
2021-01-28,2750,17577,7783,9782,0,302588,57477,418085,245030,0,11208.4
2021-01-29,0,18774,8803,9964,0,321362,66280,418085,254994,0,11986.3
2021-01-30,0,7360,3263,4095,0,328722,69543,418085,259089,0,12150.9
2021-01-31,0,595,491,104,0,329317,70034,418085,259193,0,12137.3
2021-02-01,48250,10646,5962,4681,0,339963,75996,466335,263874,0,12582.9
2021-02-02,23950,17546,7991,9552,0,357509,83987,490285,273426,0,12989
2021-02-03,20875,18322,6636,11678,0,375831,90623,511160,285104,0,12974.3
2021-02-04,1175,21837,6548,15283,0,397668,97171,512335,300387,0,13582.9
2021-02-05,200,21550,10372,11170,0,419218,107543,512535,311557,0,13979.4
2021-02-06,0,8536,2776,5757,0,427754,110319,512535,317314,0,14147.4
2021-02-07,0,859,665,193,0,428613,110984,512535,317507,0,14185.1
2021-02-08,40750,11639,4625,7009,0,440252,115609,553285,324516,0,14327
2021-02-09,24775,16100,8013,8075,0,456352,123622,578060,332591,0,14120.4
2021-02-10,26150,20635,10826,9796,0,476987,134448,604210,342387,0,14450.9
2021-02-11,-70,25115,13449,11608,0,502102,147897,604140,353995,0,14919.1
2021-02-12,150,23805,13777,10012,0,525907,161674,604290,364007,0,15241.3
2021-02-13,-150,10661,6279,4379,0,536568,167953,604140,368386,0,15544.9
2021-02-14,150,343,215,127,0,536911,168168,604290,368513,0,15471.1
