"vaccine_date","age","First dose count (daily)","Cumulative Vaccinated","Seven-day average first doses","First doses/100,000 (daily)","First doses/100,000 (7 day average)"
2020-12-15,"12-18",1,1,NA,0.3,NA
2020-12-15,"19-29",34,34,NA,5.9,NA
2020-12-15,"30-39",48,48,NA,10.6,NA
2020-12-15,"40-49",36,36,NA,8.9,NA
2020-12-15,"50-59",21,21,NA,6.8,NA
2020-12-15,"60-69",17,17,NA,6.1,NA
2020-12-16,"19-29",101,135,NA,17.6,NA
2020-12-16,"30-39",126,174,NA,27.8,NA
2020-12-16,"40-49",137,173,NA,34,NA
2020-12-16,"50-59",78,99,NA,25.2,NA
2020-12-16,"60-69",36,53,NA,12.9,NA
2020-12-16,"70-79",3,3,NA,1.8,NA
2020-12-17,"12-18",5,6,NA,1.3,NA
2020-12-17,"19-29",544,679,NA,95,NA
2020-12-17,"30-39",851,1025,NA,187.5,NA
2020-12-17,"40-49",695,868,NA,172.5,NA
2020-12-17,"50-59",383,482,NA,123.5,NA
2020-12-17,"60-69",192,245,NA,68.7,NA
2020-12-17,"70-79",13,16,NA,7.7,NA
2020-12-17,"80+",1,1,NA,1.2,NA
2020-12-18,"12-18",3,9,NA,0.8,NA
2020-12-18,"19-29",725,1404,NA,126.6,NA
2020-12-18,"30-39",998,2023,NA,219.9,NA
2020-12-18,"40-49",795,1663,NA,197.3,NA
2020-12-18,"50-59",459,941,NA,148.1,NA
2020-12-18,"60-69",265,510,NA,94.9,NA
2020-12-18,"70-79",35,51,NA,20.6,NA
2020-12-18,"80+",2,3,NA,2.4,NA
2020-12-19,"19-29",214,1618,NA,37.4,NA
2020-12-19,"30-39",248,2271,NA,54.7,NA
2020-12-19,"40-49",237,1900,NA,58.8,NA
2020-12-19,"50-59",154,1095,NA,49.7,NA
2020-12-19,"60-69",92,602,NA,32.9,NA
2020-12-19,"70-79",13,64,NA,7.7,NA
2020-12-19,"80+",2,5,NA,2.4,NA
2020-12-20,"50-59",4,1099,NA,1.3,NA
2020-12-21,"12-18",7,16,NA,1.9,NA
2020-12-21,"19-29",780,2398,NA,136.2,NA
2020-12-21,"30-39",1136,3407,NA,250.4,NA
2020-12-21,"40-49",942,2842,NA,233.8,NA
2020-12-21,"50-59",650,1749,NA,209.7,NA
2020-12-21,"60-69",365,967,NA,130.7,NA
2020-12-21,"70-79",36,100,NA,21.2,NA
2020-12-21,"80+",4,9,NA,4.8,NA
2020-12-22,"12-18",8,24,NA,2.1,NA
2020-12-22,"19-29",579,2977,NA,101.1,NA
2020-12-22,"30-39",836,4243,NA,184.2,NA
2020-12-22,"40-49",755,3597,NA,187.4,NA
2020-12-22,"50-59",525,2274,321.9,169.4,103.8
2020-12-22,"60-69",285,1252,NA,102,NA
2020-12-22,"70-79",46,146,NA,27.1,NA
2020-12-22,"80+",2,11,NA,2.4,NA
2020-12-23,"12-18",6,30,NA,1.6,NA
2020-12-23,"19-29",865,3842,544,151.1,95
2020-12-23,"30-39",1130,5373,760.7,249,167.6
2020-12-23,"40-49",1097,4694,665.4,272.3,165.1
2020-12-23,"50-59",803,3077,425.4,259,137.2
2020-12-23,"60-69",425,1677,237.1,152.2,84.9
2020-12-23,"70-79",65,211,NA,38.3,NA
2020-12-23,"80+",12,23,NA,14.5,NA
2020-12-24,"12-18",5,35,NA,1.3,NA
2020-12-24,"19-29",271,4113,568.3,47.3,99.3
2020-12-24,"30-39",378,5751,796.7,83.3,175.6
2020-12-24,"40-49",356,5050,696.7,88.4,172.9
2020-12-24,"50-59",230,3307,403.6,74.2,130.2
2020-12-24,"60-69",130,1807,250.6,46.5,89.7
2020-12-24,"70-79",21,232,32.7,12.4,19.3
2020-12-24,"80+",1,24,NA,1.2,NA
2020-12-25,"12-18",1,36,5,0.3,1.3
2020-12-25,"19-29",6,4119,491.4,1,85.8
2020-12-25,"30-39",4,5755,675.7,0.9,148.9
2020-12-25,"40-49",8,5058,598.6,2,148.6
2020-12-25,"50-59",4,3311,338.6,1.3,109.2
2020-12-26,"19-29",108,4227,403.3,18.9,70.4
2020-12-26,"30-39",166,5921,556.9,36.6,122.7
2020-12-26,"40-49",138,5196,504.7,34.3,125.3
2020-12-26,"50-59",86,3397,328.9,27.7,106.1
2020-12-26,"60-69",36,1843,228.3,12.9,81.7
2020-12-27,"19-29",17,4244,375.1,3,65.5
2020-12-27,"30-39",14,5935,523.4,3.1,115.3
2020-12-27,"40-49",12,5208,472.6,3,117.3
2020-12-27,"50-59",10,3407,329.7,3.2,106.4
2020-12-27,"60-69",5,1848,191.1,1.8,68.4
2020-12-27,"70-79",1,233,31,0.6,18.3
2020-12-28,"12-18",33,69,9,8.9,2.4
2020-12-28,"19-29",1138,5382,426.3,198.8,74.5
2020-12-28,"30-39",1380,7315,558.3,304.1,123
2020-12-28,"40-49",1459,6667,546.4,362.1,135.6
2020-12-28,"50-59",1066,4473,389.1,343.9,125.5
2020-12-28,"60-69",664,2512,272.9,237.7,97.7
2020-12-28,"70-79",152,385,47.7,89.6,28.1
2020-12-28,"80+",80,104,14.7,96.5,17.7
2020-12-29,"12-18",71,140,18.7,19.1,5
2020-12-29,"19-29",1947,7329,621.7,340.1,108.6
2020-12-29,"30-39",2178,9493,750,480,165.3
2020-12-29,"40-49",2161,8828,747.3,536.3,185.5
2020-12-29,"50-59",1599,6072,542.6,515.8,175
2020-12-29,"60-69",1058,3570,371.9,378.8,133.2
2020-12-29,"70-79",363,748,97.7,214.1,57.6
2020-12-29,"80+",470,574,81.6,566.7,98.4
2020-12-30,"12-18",88,228,30.3,23.6,8.1
2020-12-30,"19-29",2446,9775,847.6,427.2,148.1
2020-12-30,"30-39",3117,12610,1033.9,686.9,227.9
2020-12-30,"40-49",3060,11888,1027.7,759.5,255.1
2020-12-30,"50-59",2296,8368,755.9,740.6,243.8
2020-12-30,"60-69",1355,4925,524.7,485.1,187.9
2020-12-30,"70-79",362,1110,144.3,213.5,85.1
2020-12-30,"80+",289,863,122.6,348.4,147.8
2020-12-31,"12-18",44,272,35.4,11.8,9.5
2020-12-31,"19-29",1397,11172,1008.4,244,176.1
2020-12-31,"30-39",1571,14181,1204.3,346.2,265.4
2020-12-31,"40-49",1386,13274,1174.9,344,291.6
2020-12-31,"50-59",1149,9517,887.1,370.6,286.2
2020-12-31,"60-69",740,5665,569.7,264.9,204
2020-12-31,"70-79",154,1264,159.7,90.8,94.2
2020-12-31,"80+",82,945,133.7,98.9,161.2
2021-01-01,"12-18",1,273,34.7,0.3,9.3
2021-01-01,"19-29",78,11250,1018.7,13.6,177.9
2021-01-01,"30-39",40,14221,1209.4,8.8,266.5
2021-01-01,"40-49",32,13306,1178.3,7.9,292.4
2021-01-01,"50-59",15,9532,888.7,4.8,286.7
2021-01-01,"60-69",13,5678,553,4.7,198
2021-01-01,"70-79",6,1270,151.3,3.5,89.2
2021-01-01,"80+",1,946,133.6,1.2,161.1
2021-01-02,"12-18",39,312,39.6,10.5,10.6
2021-01-02,"19-29",432,11682,1065,75.5,186
2021-01-02,"30-39",366,14587,1238,80.7,272.8
2021-01-02,"40-49",323,13629,1204.7,80.2,299
2021-01-02,"50-59",270,9802,915,87.1,295.2
2021-01-02,"60-69",208,5886,577.6,74.5,206.8
2021-01-02,"70-79",94,1364,161.7,55.4,95.4
2021-01-02,"80+",53,999,139.4,63.9,168.1
2021-01-03,"12-18",2,314,39.7,0.5,10.7
2021-01-03,"19-29",148,11830,1083.7,25.9,189.3
2021-01-03,"30-39",75,14662,1246.7,16.5,274.8
2021-01-03,"40-49",86,13715,1215.3,21.3,301.6
2021-01-03,"50-59",87,9889,926,28.1,298.7
2021-01-03,"60-69",93,5979,590.1,33.3,211.3
2021-01-03,"70-79",50,1414,168.7,29.5,99.5
2021-01-03,"80+",62,1061,148.1,74.8,178.6
2021-01-04,"12-18",59,373,43.4,15.8,11.7
2021-01-04,"19-29",1375,13205,1117.6,240.2,195.2
2021-01-04,"30-39",1440,16102,1255.3,317.4,276.6
2021-01-04,"40-49",1384,15099,1204.6,343.5,299
2021-01-04,"50-59",1007,10896,917.6,324.8,296
2021-01-04,"60-69",781,6760,606.9,279.6,217.3
2021-01-04,"70-79",337,1751,195.1,198.7,115.1
2021-01-04,"80+",279,1340,176.6,336.4,212.9
2021-01-05,"12-18",96,469,47,25.8,12.6
2021-01-05,"19-29",2060,15265,1133.7,359.8,198
2021-01-05,"30-39",1835,17937,1206.3,404.4,265.8
2021-01-05,"40-49",1907,17006,1168.3,473.3,290
2021-01-05,"50-59",1451,12347,896.4,468.1,289.2
2021-01-05,"60-69",1109,7869,614.1,397.1,219.9
2021-01-05,"70-79",502,2253,215,296.1,126.8
2021-01-05,"80+",313,1653,154.1,377.4,185.8
2021-01-06,"12-18",87,556,46.9,23.4,12.6
2021-01-06,"19-29",2213,17478,1100.4,386.5,192.2
2021-01-06,"30-39",2265,20202,1084.6,499.2,239
2021-01-06,"40-49",2380,19386,1071.1,590.7,265.8
2021-01-06,"50-59",1691,14038,810,545.5,261.3
2021-01-06,"60-69",1271,9140,602.1,455.1,215.6
2021-01-06,"70-79",693,2946,262.3,408.7,154.7
2021-01-06,"80+",496,2149,183.7,598,221.5
2021-01-07,"12-18",72,628,50.9,19.3,13.7
2021-01-07,"19-29",2018,19496,1189.1,352.5,207.7
2021-01-07,"30-39",1804,22006,1117.9,397.6,246.4
2021-01-07,"40-49",1865,21251,1139.6,462.9,282.8
2021-01-07,"50-59",1437,15475,851.1,463.5,274.5
2021-01-07,"60-69",1003,10143,639.7,359.1,229
2021-01-07,"70-79",384,3330,295.1,226.5,174
2021-01-07,"80+",261,2410,209.3,314.7,252.3
2021-01-08,"12-18",84,712,62.7,22.6,16.8
2021-01-08,"19-29",1959,21455,1457.9,342.2,254.7
2021-01-08,"30-39",1743,23749,1361.1,384.1,300
2021-01-08,"40-49",1779,23030,1389.1,441.5,344.8
2021-01-08,"50-59",1273,16748,1030.9,410.6,332.5
2021-01-08,"60-69",962,11105,775.3,344.4,277.6
2021-01-08,"70-79",435,3765,356.4,256.5,210.2
2021-01-08,"80+",538,2948,286,648.6,344.8
2021-01-09,"12-18",28,740,61.1,7.5,16.4
2021-01-09,"19-29",371,21826,1449.1,64.8,253.1
2021-01-09,"30-39",352,24101,1359.1,77.6,299.5
2021-01-09,"40-49",340,23370,1391.6,84.4,345.4
2021-01-09,"50-59",259,17007,1029.3,83.5,332
2021-01-09,"60-69",256,11361,782.1,91.7,280
2021-01-09,"70-79",175,3940,368,103.2,217
2021-01-09,"80+",146,3094,299.3,176,360.9
2021-01-10,"12-18",32,772,65.4,8.6,17.6
2021-01-10,"19-29",119,21945,1445,20.8,252.4
2021-01-10,"30-39",90,24191,1361.3,19.8,300
2021-01-10,"40-49",101,23471,1393.7,25.1,345.9
2021-01-10,"50-59",122,17129,1034.3,39.4,333.6
2021-01-10,"60-69",107,11468,784.1,38.3,280.7
2021-01-10,"70-79",116,4056,377.4,68.4,222.6
2021-01-10,"80+",198,3292,318.7,238.7,384.2
2021-01-11,"12-18",81,853,68.6,21.8,18.4
2021-01-11,"19-29",1299,23244,1434.1,226.9,250.5
2021-01-11,"30-39",977,25168,1295.1,215.3,285.4
2021-01-11,"40-49",1167,24638,1362.7,289.6,338.2
2021-01-11,"50-59",1133,18262,1052.3,365.5,339.4
2021-01-11,"60-69",916,12384,803.4,328,287.6
2021-01-11,"70-79",514,4570,402.7,303.1,237.5
2021-01-11,"80+",662,3954,373.4,798.1,450.2
