"age","sex","Count","Percent"
"12-18","Female",120808,50.5
"12-18","Male",117905,49.3
"12-18","Unknown",530,0.2
"19-29","Female",210601,51.4
"19-29","Male",196732,48
"19-29","Unknown",2673,0.7
"30-39","Female",168830,50.1
"30-39","Male",166083,49.2
"30-39","Unknown",2318,0.7
"40-49","Female",160511,50.4
"40-49","Male",155391,48.8
"40-49","Unknown",2395,0.8
"5-11","Female",49013,49.1
"5-11","Male",50695,50.8
"5-11","Unknown",89,0.1
"50-59","Female",134490,50.8
"50-59","Male",127561,48.2
"50-59","Unknown",2580,1
"60-69","Female",130620,51.7
"60-69","Male",119622,47.3
"60-69","Unknown",2556,1
"70-79","Female",85184,52.6
"70-79","Male",73739,45.6
"70-79","Unknown",2920,1.8
"80+","Female",43467,56.5
"80+","Male",32012,41.6
"80+","Unknown",1447,1.9
