"vaccine_date","Atleast One Dose","Cumulative Vaccinated","age_group","Population","Total % of Age Group Vaccinated","Cumulative Vaccination Rate / 100,000 Population","Fully Vaccinated","Cumulative Fully Vaccinated","Total % of Age Group Fully Vaccinated","Cumulative Fully Vaccination Rate / 100,000 Population"
2020-12-15,1,1,"12 - 18 years",372405,0,"   0.3",0,0,0,"   0.0"
2020-12-17,5,6,"12 - 18 years",372405,0,"   1.3",0,0,0,"   0.0"
2020-12-18,3,9,"12 - 18 years",372405,0,"   0.8",0,0,0,"   0.0"
2020-12-21,7,16,"12 - 18 years",372405,0,"   1.9",0,0,0,"   0.0"
2020-12-22,8,24,"12 - 18 years",372405,0,"   2.1",0,0,0,"   0.0"
2020-12-23,6,30,"12 - 18 years",372405,0,"   1.6",0,0,0,"   0.0"
2020-12-24,5,35,"12 - 18 years",372405,0,"   1.3",0,0,0,"   0.0"
2020-12-25,1,36,"12 - 18 years",372405,0,"   0.3",0,0,0,"   0.0"
2020-12-28,33,69,"12 - 18 years",372405,0,"   8.9",0,0,0,"   0.0"
2020-12-29,71,140,"12 - 18 years",372405,0,"  19.1",0,0,0,"   0.0"
2020-12-30,88,228,"12 - 18 years",372405,0.1,"  23.6",0,0,0,"   0.0"
2020-12-31,44,272,"12 - 18 years",372405,0.1,"  11.8",0,0,0,"   0.0"
2021-01-01,1,273,"12 - 18 years",372405,0.1,"   0.3",0,0,0,"   0.0"
2021-01-02,39,312,"12 - 18 years",372405,0.1,"  10.5",0,0,0,"   0.0"
2021-01-03,2,314,"12 - 18 years",372405,0.1,"   0.5",0,0,0,"   0.0"
2021-01-04,59,373,"12 - 18 years",372405,0.1,"  15.8",0,0,0,"   0.0"
2021-01-05,96,469,"12 - 18 years",372405,0.1,"  25.8",0,0,0,"   0.0"
2021-01-06,87,556,"12 - 18 years",372405,0.1,"  23.4",0,0,0,"   0.0"
2021-01-07,72,628,"12 - 18 years",372405,0.2,"  19.3",1,1,0,"   0.3"
2021-01-08,84,712,"12 - 18 years",372405,0.2,"  22.6",1,2,0,"   0.3"
2021-01-09,28,740,"12 - 18 years",372405,0.2,"   7.5",0,2,0,"   0.0"
2021-01-10,32,772,"12 - 18 years",372405,0.2,"   8.6",0,2,0,"   0.0"
2021-01-11,81,853,"12 - 18 years",372405,0.2,"  21.8",6,8,0,"   1.6"
2021-01-12,73,926,"12 - 18 years",372405,0.2,"  19.6",1,9,0,"   0.3"
2021-01-13,70,996,"12 - 18 years",372405,0.3,"  18.8",7,16,0,"   1.9"
2021-01-14,79,1075,"12 - 18 years",372405,0.3,"  21.2",4,20,0,"   1.1"
2021-01-15,96,1171,"12 - 18 years",372405,0.3,"  25.8",0,20,0,"   0.0"
2021-01-16,64,1235,"12 - 18 years",372405,0.3,"  17.2",0,20,0,"   0.0"
2021-01-17,17,1252,"12 - 18 years",372405,0.3,"   4.6",0,20,0,"   0.0"
2021-01-18,46,1298,"12 - 18 years",372405,0.3,"  12.4",2,22,0,"   0.5"
2021-01-19,90,1388,"12 - 18 years",372405,0.4,"  24.2",14,36,0,"   3.8"
2021-01-20,68,1456,"12 - 18 years",372405,0.4,"  18.3",9,45,0,"   2.4"
2021-01-21,93,1549,"12 - 18 years",372405,0.4,"  25.0",14,59,0,"   3.8"
2021-01-22,71,1620,"12 - 18 years",372405,0.4,"  19.1",9,68,0,"   2.4"
2021-01-23,53,1673,"12 - 18 years",372405,0.4,"  14.2",22,90,0,"   5.9"
2021-01-24,8,1681,"12 - 18 years",372405,0.5,"   2.1",1,91,0,"   0.3"
2021-01-25,25,1706,"12 - 18 years",372405,0.5,"   6.7",32,123,0,"   8.6"
2021-01-26,14,1720,"12 - 18 years",372405,0.5,"   3.8",44,167,0,"  11.8"
2021-01-27,36,1756,"12 - 18 years",372405,0.5,"   9.7",67,234,0.1,"  18.0"
2021-01-28,35,1791,"12 - 18 years",372405,0.5,"   9.4",57,291,0.1,"  15.3"
2021-01-29,61,1852,"12 - 18 years",372405,0.5,"  16.4",69,360,0.1,"  18.5"
2021-01-30,30,1882,"12 - 18 years",372405,0.5,"   8.1",57,417,0.1,"  15.3"
2021-01-31,14,1896,"12 - 18 years",372405,0.5,"   3.8",8,425,0.1,"   2.1"
2021-02-01,26,1922,"12 - 18 years",372405,0.5,"   7.0",74,499,0.1,"  19.9"
2021-02-02,63,1985,"12 - 18 years",372405,0.5,"  16.9",109,608,0.2,"  29.3"
2021-02-03,49,2034,"12 - 18 years",372405,0.5,"  13.2",73,681,0.2,"  19.6"
2021-02-04,78,2112,"12 - 18 years",372405,0.6,"  20.9",97,778,0.2,"  26.0"
2021-02-05,131,2243,"12 - 18 years",372405,0.6,"  35.2",82,860,0.2,"  22.0"
2021-02-06,47,2290,"12 - 18 years",372405,0.6,"  12.6",52,912,0.2,"  14.0"
2021-02-07,7,2297,"12 - 18 years",372405,0.6,"   1.9",19,931,0.2,"   5.1"
2021-02-08,33,2330,"12 - 18 years",372405,0.6,"   8.9",37,968,0.3,"   9.9"
2021-02-09,53,2383,"12 - 18 years",372405,0.6,"  14.2",110,1078,0.3,"  29.5"
2021-02-10,36,2419,"12 - 18 years",372405,0.6,"   9.7",61,1139,0.3,"  16.4"
2021-02-11,95,2514,"12 - 18 years",372405,0.7,"  25.5",90,1229,0.3,"  24.2"
2021-02-12,114,2628,"12 - 18 years",372405,0.7,"  30.6",60,1289,0.3,"  16.1"
2021-02-13,32,2660,"12 - 18 years",372405,0.7,"   8.6",26,1315,0.4,"   7.0"
2021-02-14,2,2662,"12 - 18 years",372405,0.7,"   0.5",6,1321,0.4,"   1.6"
2021-02-15,11,2673,"12 - 18 years",372405,0.7,"   3.0",13,1334,0.4,"   3.5"
