Date,Received First Dose of Vaccine,Cumulative,Percentage Fully Vaccinated (5 & Older)
12/14/2020 - 12/20/2020,4059,4059,0.003741745
12/21/2020 - 12/27/2020,6376,10435,0.009619391
12/28/2020 - 1/3/2021,15051,25486,0.023493991
1/4/2021 - 1/10/2021,17955,43441,0.040045613
1/11/2021 - 1/17/2021,18757,62198,0.057336549
1/18/2021 - 1/24/2021,16222,78420,0.072290623
1/25/2021 - 1/31/2021,14651,93071,0.085796487
2/1/2021 - 2/7/2021,21048,114119,0.105199357
2/8/2021 - 2/14/2021,18072,132191,0.121858833
2/15/2021 - 2/21/2021,16832,149023,0.137375229
2/22/2021 - 2/28/2021,22288,171311,0.157921179
3/1/2021 - 3/7/2021,36998,208309,0.192027382
3/8/2021 - 3/14/2021,44777,253086,0.233304572
3/15/2021 - 3/21/2021,42256,295342,0.272257805
3/22/2021 - 3/28/2021,40592,335934,0.309677098
3/29/2021 - 4/4/2021,43955,379889,0.350196536
4/5/2021 - 4/11/2021,48922,428811,0.395294749
4/12/2021 - 4/18/2021,33306,462117,0.425997522
4/19/2021 - 4/25/2021,26505,488622,0.450430868
4/26/2021 - 5/2/2021,26211,514833,0.474593192
5/3/2021 - 5/9/2021,17830,532663,0.491029584
5/10/2021 - 5/16/2021,17050,549713,0.50674694
5/17/2021 - 5/23/2021,22130,571843,0.52714724
5/24/2021 - 5/30/2021,13504,585347,0.539595755
5/31/2021 - 6/6/2021,8363,593710,0.547305096
6/7/2021 - 6/13/2021,7690,601400,0.554394038
6/14/2021 - 6/20/2021,6789,608189,0.560652404
6/21/2021 - 6/27/2021,6743,614932,0.566868365
6/28/2021 - 7/4/2021,6393,621325,0.572761682
7/5/2021 - 7/11/2021,6496,627821,0.578749949
7/12/2021 - 7/18/2021,6508,634329,0.584749278
7/19/2021 - 7/25/2021,7391,641720,0.591562591
7/26/2021 - 8/1/2021,9231,650951,0.600072088
8/2/2021 - 8/8/2021,10208,661159,0.609482221
8/9/2021 - 8/15/2021,9941,671100,0.618646224
8/16/2021 - 8/22/2021,8128,679228,0.626138932
8/23/2021 - 8/29/2021,7015,686243,0.632605634
8/30/2021 - 9/5/2021,6498,692741,0.638595744
9/6/2021 - 9/12/2021,4933,697674,0.643143176
9/13/2021 - 9/19/2021,4674,702348,0.647451852
9/20/2021 - 9/26/2021,3565,705913,0.650738209
9/27/2021 - 10/3/2021,3139,709052,0.653631862
10/4/2021 - 10/10/2021,3106,712158,0.656495094
10/11/2021 - 10/17/2021,2962,715120,0.659225581
10/18/2021 - 10/24/2021,2619,717739,0.661639878
10/25/2021 - 10/31/2021,2621,720360,0.664056018
11/1/2021 - 11/7/2021,6414,726774,0.669968694
11/8/2021 - 11/14/2021,15090,741864,0.683879246
11/15/2021 - 11/21/2021,9652,751516,0.692776838
11/22/2021 - 11/28/2021,4366,755882,0.696801587
11/29/2021 - 12/5/2021,4216,760098,0.700688061
12/6/2021 - 12/12/2021,3721,763819,0.704118224
12/13/2021 - 12/19/2021,3038,766857,0.706918771
12/20/2021 - 12/26/2021,2017,768874,0.708778121
12/27/2021 - 1/2/2022,1966,770840,0.710590456
1/3/2022 - 1/9/2022,2085,772925,0.712512491
1/10/2022 - 1/16/2022,1276,774201,0.713688758
1/17/2022 - 1/23/2022,131,774332,0.713809519
1/24/2022 - 1/30/2022,137,774469,0.71393581
1/31/2022 - 2/5/2022,82,774551,0.714011401
