Date,Cases
3/13/2020,0
3/14/2020,0
3/15/2020,9
3/16/2020,5
3/17/2020,0
3/18/2020,0
3/19/2020,13
3/20/2020,16
3/21/2020,15
3/22/2020,30
3/23/2020,9
3/24/2020,38
3/25/2020,18
3/26/2020,46
3/27/2020,54
3/28/2020,53
3/29/2020,38
3/30/2020,43
3/31/2020,36
4/1/2020,39
4/2/2020,78
4/3/2020,86
4/4/2020,84
4/5/2020,38
4/6/2020,40
4/7/2020,47
4/8/2020,81
4/9/2020,72
4/10/2020,72
4/11/2020,52
4/12/2020,29
4/13/2020,31
4/14/2020,98
4/15/2020,93
4/16/2020,78
4/17/2020,94
4/18/2020,67
4/19/2020,49
4/20/2020,49
4/21/2020,81
4/22/2020,98
4/23/2020,68
4/24/2020,88
4/25/2020,98
4/26/2020,46
4/27/2020,62
4/28/2020,92
4/29/2020,86
4/30/2020,91
5/1/2020,81
5/2/2020,98
5/3/2020,56
5/4/2020,62
5/5/2020,88
5/6/2020,93
5/7/2020,96
5/8/2020,100
5/9/2020,84
5/10/2020,75
5/11/2020,48
5/12/2020,120
5/13/2020,70
5/14/2020,103
5/15/2020,76
5/16/2020,96
5/17/2020,58
5/18/2020,80
5/19/2020,110
5/20/2020,92
5/21/2020,101
5/22/2020,121
5/23/2020,75
5/24/2020,65
5/25/2020,50
5/26/2020,48
5/27/2020,148
5/28/2020,170
5/29/2020,125
5/30/2020,120
5/31/2020,99
6/1/2020,111
6/2/2020,152
6/3/2020,149
6/4/2020,149
6/5/2020,182
6/6/2020,93
6/7/2020,135
6/8/2020,106
6/9/2020,175
6/10/2020,184
6/11/2020,172
6/12/2020,211
6/13/2020,162
6/14/2020,167
6/15/2020,143
6/16/2020,221
6/17/2020,259
6/18/2020,279
6/19/2020,319
6/20/2020,199
6/21/2020,178
6/22/2020,152
6/23/2020,264
6/24/2020,312
6/25/2020,324
6/26/2020,298
6/27/2020,236
6/28/2020,271
6/29/2020,264
6/30/2020,264
7/1/2020,294
7/2/2020,320
7/3/2020,313
7/4/2020,191
7/5/2020,203
7/6/2020,249
7/7/2020,365
7/8/2020,312
7/9/2020,409
7/10/2020,253
7/11/2020,276
7/12/2020,268
7/13/2020,209
7/14/2020,223
7/15/2020,297
7/16/2020,236
7/17/2020,283
7/18/2020,344
7/19/2020,167
7/20/2020,180
7/21/2020,256
7/22/2020,232
7/23/2020,324
7/24/2020,282
7/25/2020,122
7/26/2020,185
7/27/2020,159
7/28/2020,155
7/29/2020,236
7/30/2020,216
7/31/2020,204
8/1/2020,175
8/2/2020,136
8/3/2020,129
8/4/2020,191
8/5/2020,211
8/6/2020,204
8/7/2020,160
8/8/2020,179
8/9/2020,118
8/10/2020,162
8/11/2020,128
8/12/2020,166
8/13/2020,259
8/14/2020,161
8/15/2020,149
8/16/2020,99
8/17/2020,85
8/18/2020,152
8/19/2020,209
8/20/2020,186
8/21/2020,149
8/22/2020,129
8/23/2020,120
8/24/2020,143
8/25/2020,151
8/26/2020,180
8/27/2020,174
8/28/2020,187
8/29/2020,156
8/30/2020,116
8/31/2020,119
9/1/2020,142
9/2/2020,160
9/3/2020,174
9/4/2020,178
9/5/2020,174
9/6/2020,118
9/7/2020,108
9/8/2020,78
9/9/2020,91
9/10/2020,254
9/11/2020,224
9/12/2020,198
9/13/2020,228
9/14/2020,193
9/15/2020,276
9/16/2020,349
9/17/2020,388
9/18/2020,395
9/19/2020,336
9/20/2020,273
9/21/2020,218
9/22/2020,326
9/23/2020,406
9/24/2020,581
9/25/2020,378
9/26/2020,421
9/27/2020,322
9/28/2020,234
9/29/2020,373
9/30/2020,304
10/1/2020,448
10/2/2020,473
10/3/2020,647
10/4/2020,468
10/5/2020,330
10/6/2020,491
