Date,Cases
3/13/2020,0
3/14/2020,0
3/15/2020,9
3/16/2020,5
3/17/2020,0
3/18/2020,0
3/20/2020,0
3/21/2020,0
3/22/2020,5
3/23/2020,0
3/24/2020,7
3/25/2020,0
3/26/2020,0
3/27/2020,5
3/28/2020,12
3/29/2020,22
3/30/2020,17
3/31/2020,15
4/1/2020,11
4/2/2020,52
4/3/2020,29
4/4/2020,32
4/5/2020,5
4/6/2020,12
4/7/2020,10
4/8/2020,22
4/9/2020,15
4/10/2020,16
4/11/2020,24
4/12/2020,9
4/13/2020,7
4/14/2020,10
4/15/2020,30
4/16/2020,27
4/17/2020,20
4/18/2020,37
4/19/2020,50
4/20/2020,25
4/21/2020,35
4/22/2020,37
4/23/2020,60
4/24/2020,62
4/25/2020,54
4/26/2020,52
4/27/2020,24
4/28/2020,34
4/29/2020,60
4/30/2020,36
5/1/2020,30
5/2/2020,49
5/3/2020,47
5/4/2020,46
5/5/2020,40
5/6/2020,12
5/7/2020,68
5/8/2020,31
5/9/2020,27
5/10/2020,14
5/11/2020,7
5/12/2020,32
5/13/2020,36
5/14/2020,20
5/15/2020,15
5/16/2020,28
5/17/2020,23
5/18/2020,17
5/19/2020,33
5/20/2020,22
5/21/2020,57
5/22/2020,24
5/23/2020,26
5/24/2020,22
5/25/2020,20
5/26/2020,11
5/27/2020,26
5/28/2020,49
5/29/2020,45
5/30/2020,61
5/31/2020,36
6/1/2020,24
6/2/2020,32
6/3/2020,60
6/4/2020,60
6/5/2020,46
6/6/2020,81
6/7/2020,52
6/8/2020,17
6/9/2020,41
6/10/2020,65
6/11/2020,45
6/12/2020,57
6/13/2020,57
6/14/2020,46
6/15/2020,62
6/16/2020,58
6/17/2020,89
6/18/2020,101
6/19/2020,98
6/20/2020,83
6/21/2020,129
6/22/2020,85
6/23/2020,94
6/24/2020,91
6/25/2020,137
6/26/2020,79
6/27/2020,98
6/28/2020,122
6/29/2020,122
6/30/2020,72
7/1/2020,93
7/2/2020,96
7/3/2020,135
7/4/2020,81
7/5/2020,97
7/6/2020,112
7/7/2020,138
7/8/2020,98
7/9/2020,163
7/10/2020,137
7/11/2020,99
7/12/2020,121
7/13/2020,65
7/14/2020,86
7/15/2020,153
7/16/2020,168
7/17/2020,196
7/18/2020,148
7/19/2020,97
7/20/2020,118
7/21/2020,133
7/22/2020,88
7/23/2020,196
7/24/2020,159
7/25/2020,101
7/26/2020,105
7/27/2020,115
7/28/2020,48
7/29/2020,99
7/30/2020,110
7/31/2020,111
8/1/2020,145
8/2/2020,102
8/3/2020,115
8/4/2020,103
8/5/2020,161
8/6/2020,105
8/7/2020,96
8/8/2020,95
8/9/2020,80
8/10/2020,89
8/11/2020,89
8/12/2020,77
8/13/2020,162
8/14/2020,92
8/15/2020,99
8/16/2020,79
8/17/2020,94
8/18/2020,105
8/19/2020,111
8/20/2020,156
8/21/2020,91
8/22/2020,81
8/23/2020,67
8/24/2020,131
8/25/2020,125
8/26/2020,99
8/27/2020,90
8/28/2020,143
8/29/2020,183
8/30/2020,61
8/31/2020,63
9/1/2020,108
9/2/2020,157
9/3/2020,198
9/4/2020,134
9/5/2020,130
9/6/2020,145
9/7/2020,148
9/8/2020,137
9/9/2020,189
9/10/2020,226
9/11/2020,212
9/12/2020,309
9/13/2020,220
9/14/2020,217
9/15/2020,314
9/16/2020,399
9/17/2020,501
9/18/2020,430
9/19/2020,409
9/20/2020,231
9/21/2020,284
9/22/2020,375
9/23/2020,576
9/24/2020,528
9/25/2020,458
9/26/2020,403
9/27/2020,367
9/28/2020,253
9/29/2020,312
9/30/2020,383
10/1/2020,372
10/2/2020,294
10/3/2020,405
10/4/2020,338
10/5/2020,199
10/6/2020,159
10/7/2020,441
