Month of DATE,Unemployment Rate
Jan-18,0.0311647
Feb-18,0.0302736
Mar-18,0.0288183
Apr-18,0.027357
May-18,0.0264266
Jun-18,0.0262367
Jul-18,0.0266303
Aug-18,0.0273102
Sep-18,0.0281416
Oct-18,0.029048
Nov-18,0.0297987
Dec-18,0.030018
Jan-19,0.0293406
Feb-19,0.02766
Mar-19,0.025512
Apr-19,0.0235968
May-19,0.0225065
Jun-19,0.0221877
Jul-19,0.0223796
Aug-19,0.0228086
Sep-19,0.0231823
Oct-19,0.0237156
Nov-19,0.0250615
Dec-19,0.0280803
Jan-20,0.0335481
Feb-20,0.0411328
Mar-20,0.0492
Apr-20,0.1099434
May-20,0.0850193
Jun-20,0.0721784
Jul-20,0.0556211
Aug-20,0.0520403
Sep-20,0.0486317
Oct-20,0.0457977
Nov-20,0.0434187
Dec-20,0.0408663
Jan-21,0.0384647
Feb-21,0.0348625
Mar-21,0.0291401
Apr-21,0.0263837
May-21,0.0253412
Jun-21,0.0251014
Jul-21,0.0248924
Aug-21,0.0230235
Sep-21,0.0202584
Oct-21,0.0189529
Nov-21,0.0180115
Dec-21,0.0173567
