DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
1/1/2019,3.13,0,0,2,17,23,6
1/2/2019,5.59,0,0,2,16,25,11
1/3/2019,5.14,0,0,2,19,30,13
1/4/2019,3.58,0,0,2,21,30,13
1/5/2019,2.68,0,0,2,21,30,13
1/6/2019,6.71,0.22,1,2,32,37,28
1/7/2019,10.74,0.07,0.4,2,35,40,32
1/8/2019,2.68,0,0,2,33,39,27
1/9/2019,4.03,0,0,1.2,33,40,27
1/10/2019,3.36,0,0,1.2,31,39,27
1/11/2019,3.36,0,0,0,33,34,32
1/12/2019,4.92,0,0,0,32,33,29
1/13/2019,6.71,0,0,0,29,31,26
1/14/2019,3.8,0,0,0,26,30,20
1/15/2019,3.58,0.04,0.5,0,25,32,19
1/16/2019,4.92,0.04,0.5,1.2,31,44,28
1/17/2019,12.3,0.76,0,0,42,46,36
1/18/2019,4.92,0.01,0,0,37,39,31
1/19/2019,8.72,0,0,0,34,43,29
1/20/2019,7.61,0,0,0,39,45,32
1/21/2019,13.87,0.61,4,0,37,47,26
1/22/2019,5.82,0,0,3.9,26,32,17
1/23/2019,8.5,0.01,0.2,3.1,24,33,18
1/24/2019,2.91,0,0,3.1,33,42,30
1/25/2019,4.47,0,0,2,35,43,27
1/26/2019,4.03,0,0,1.2,32,41,25
1/27/2019,6.04,0,0,0,34,44,29
1/28/2019,5.82,0,0,0,34,41,26
1/29/2019,4.7,0,0,0,32,40,27
1/30/2019,5.14,0,0,0,31,42,24
1/31/2019,3.36,0,0,0,33,47,26
2/1/2019,4.47,0,0,0,35,52,26
2/2/2019,13.42,0,0,0,43,54,39
2/3/2019,18.34,0.07,0,0,45,48,40
2/4/2019,22.59,0.01,0,0,46,51,39
2/5/2019,12.53,0.06,1.2,0,40,41,29
2/6/2019,13.87,0.33,4.1,5.1,28,29,22
2/7/2019,7.38,0.04,1.5,3.9,23,27,15
2/8/2019,4.7,0,0,3.9,20,32,12
2/9/2019,11.18,0,0,3.1,26,37,16
2/10/2019,18.79,0.16,3,3.1,36,42,23
2/11/2019,7.16,0,0.3,3.9,26,30,19
2/12/2019,8.72,0,0,3.1,28,39,23
2/13/2019,16.33,0.17,0,2,37,46,29
2/14/2019,19.69,0.02,0,0,43,51,39
2/15/2019,13.87,0.23,2.4,0,43,52,29
2/16/2019,5.59,0,0,2,33,37,27
2/17/2019,7.16,0.04,0.6,1.2,31,38,26
2/18/2019,9.4,0,0,1.2,29,34,23
2/19/2019,10.74,0,0,0,26,27,22
2/20/2019,11.63,0,0,0,25,33,22
2/21/2019,7.38,0.01,0.1,0,28,34,22
2/22/2019,6.04,0.06,0.7,1.2,27,32,20
2/23/2019,10.51,0,0,0,26,36,19
2/24/2019,15.21,0,0,0,34,46,27
2/25/2019,20.36,0,0,0,44,54,39
2/26/2019,19.91,0,0,0,50,57,47
2/27/2019,11.41,0.02,0,0,49,52,42
2/28/2019,8.95,0.04,0,0,48,56,42
3/1/2019,8.28,0,0,0,43,49,33
3/2/2019,5.14,0.3,1.3,0,38,40,32
3/3/2019,6.04,0.06,0.8,2,34,41,30
3/4/2019,2.68,0,0,0,34,43,27
3/5/2019,7.83,0,0,0,40,52,32
3/6/2019,14.99,0.14,0,0,48,52,43
3/7/2019,7.61,0.36,0,0,44,51,37
3/8/2019,8.72,0.3,0.6,0,41,42,32
3/9/2019,4.47,0.02,0.5,1.2,34,43,29
3/10/2019,5.82,0.02,0,0,37,43,32
3/11/2019,4.7,0,0,0,38,49,30
3/12/2019,6.26,0.21,0,0,41,53,31
3/13/2019,16.55,0.12,2.9,1.2,37,41,28
3/14/2019,7.83,0,0,1.2,34,42,29
3/15/2019,6.26,0,0,0,35,47,28
3/16/2019,5.37,0,0,0,39,51,29
3/17/2019,5.82,0,0,0,42,56,31
3/18/2019,5.37,0,0,0,45,58,34
3/19/2019,5.82,0,0,0,45,58,33
3/20/2019,13.87,0,0,0,50,63,40
3/21/2019,10.96,0.21,0,0,50,54,40
3/22/2019,9.17,0.11,0,0,46,50,43
3/23/2019,4.03,0.07,0,0,46,54,43
3/24/2019,6.49,0.44,0,0,44,49,38
3/25/2019,7.16,0,0,0,44,61,34
3/26/2019,13.2,0,0,0,54,66,48
3/27/2019,14.99,0,0,0,56,66,48
3/28/2019,12.75,0.85,1,1.2,56,59,32
3/29/2019,5.59,0.75,3.6,1.2,38,49,32
3/30/2019,4.25,0,0,0,42,52,36
3/31/2019,4.03,0,0,0,43,53,32
4/1/2019,6.49,0,0,0,46,59,36
4/2/2019,8.72,0.01,0,0,52,55,46
4/3/2019,3.58,0.32,0,0,48,57,44
4/4/2019,9.62,0,0,0,53,66,44
4/5/2019,12.3,0,0,0,58,66,51
4/6/2019,6.49,0.19,0,0,52,58,44
4/7/2019,9.17,0,0,0,52,67,42
4/8/2019,7.38,0,0,0,58,71,47
4/9/2019,10.96,0.49,0,0,57,62,39
4/10/2019,18.79,0.1,0,0,41,47,36
4/11/2019,10.29,0,0,0,42,49,38
4/12/2019,6.93,0.23,0.2,0,42,49,33
4/13/2019,6.93,0.11,0,0,43,54,34
4/14/2019,10.96,0,0,0,50,62,44
4/15/2019,6.49,0.47,0,0,52,53,45
4/16/2019,6.93,0.49,0,0,47,53,41
4/17/2019,4.7,0,0,0,46,57,38
4/18/2019,5.82,0,0,0,53,64,40
4/19/2019,6.26,0,0,0,58,76,45
4/20/2019,12.08,0.08,0,0,66,76,53
4/21/2019,5.82,0.57,0,0,56,61,50
4/22/2019,6.49,0,0,0,53,63,48
4/23/2019,6.49,0,0,0,55,66,45
4/24/2019,8.28,0,0,0,59,72,49
4/25/2019,6.04,0,0,0,60,73,51
4/26/2019,10.96,0.01,0,0,65,74,53
4/27/2019,5.14,0,0,0,57,70,43
4/28/2019,13.2,0,0,0,57,58,43
4/29/2019,6.93,0,0,0,49,63,39
4/30/2019,6.93,0.38,0,0,49,54,35
5/1/2019,5.82,0.02,0,0,41,53,35
5/2/2019,8.05,0,0,0,49,64,40
5/3/2019,7.83,0,0,0,56,68,44
5/4/2019,7.38,0,0,0,60,74,46
5/5/2019,10.07,0,0,0,65,77,55
5/6/2019,8.95,0,0,0,63,77,53
5/7/2019,9.17,0.18,0,0,58,64,50
5/8/2019,9.62,0,0,0,55,64,48
5/9/2019,7.38,0,0,0,53,62,42
5/10/2019,6.04,0,0,0,55,67,42
5/11/2019,7.61,0,0,0,59,73,46
