dates,Cases,VMT (Veh-Miles),VMT Truck,VMT Total,News Sentiment,Unemployment Rate,PRCP,SNOW,SNWD,Percent_Fully_Vaccinated_12&Older,Stay at Home,Mask,School Opening,Health Emergency,TAVG,TMAX,TMIN,Day
201902,0,66181817.1,3867774.69,65992456.97,-0.591106563,0.0277,0.07,0.4,6.4,,0,0,1,0,32.28571429,36.57142857,28.57142857,1/7/2019
201903,0,65217107,3800585.14,65027746.62,-0.719276905,0.0277,0.85,1,1.2,,0,0,1,0,33.42857143,39.85714286,27.85714286,1/14/2019
201904,0,63764156.8,3764387.42,63574796.54,-0.798199899,0.0277,0.62,4.2,13.3,,0,0,1,0,31.57142857,40.28571429,24.57142857,1/21/2019
201905,0,68255092.9,3931200.14,68065732.66,-0.793748215,0.0277,0.07,0,0,,0,0,1,0,36.14285714,46.28571429,29.71428571,1/28/2019
201906,0,60363403.4,3582669.45,60174043.18,-0.329561126,0.0277,0.6,9.8,19.1,,0,0,1,0,31.28571429,37,22.28571429,2/4/2019
201907,0,65513548.1,3823372.78,65324187.9,-0.241498536,0.0277,0.46,3.3,12.2,,0,0,1,0,34.42857143,41.85714286,27.42857143,2/11/2019
201908,0,66504986.3,3813024.77,66315626.14,-0.002925632,0.0277,0.07,0.8,2.4,,0,0,1,0,27.85714286,34.57142857,22.14285714,2/18/2019
201909,0,68648000.7,4004513.43,68458640.67,0.268124397,0.0255,0.42,2.1,2,,0,0,1,0,43.71428571,49.85714286,37.85714286,2/25/2019
201910,0,68744985.8,3961335.38,68555767.91,0.634419404,0.0255,0.84,1.1,1.2,,0,0,1,0,39.71428571,46.57142857,33.14285714,3/4/2019
201911,0,68722680.7,3948444.11,68533320.43,0.552426309,0.0255,0.33,2.9,2.4,,0,0,1,0,38,48.42857143,29.42857143,3/11/2019
201912,0,70132915.1,4129450.5,69943554.94,0.725188926,0.0255,0.83,0,0,,0,0,1,0,46.57142857,55.14285714,38.71428571,3/18/2019
201913,0,71034329.5,4216007.79,70844969.43,0.340236172,0.0255,1.6,4.6,2.4,,0,0,1,0,47.57142857,58,37.42857143,3/25/2019
201914,0,70567540.9,4270993.78,70378180.59,0.202864404,0.0236,0.52,0,0,,0,0,1,0,51.57142857,61.14285714,43.85714286,4/1/2019
201915,0,69473076.7,4134542.39,69283716.38,0.345729861,0.0236,0.93,0.2,0,,0,0,1,0,47.57142857,56.28571429,38.71428571,4/8/2019
201916,0,69497368.1,4153451.86,69308008,0.725487046,0.0236,1.61,0,0,,0,0,1,0,54,62.85714286,44.57142857,4/15/2019
201917,0,71972742.4,4321962.81,71783382.24,0.910453662,0.0236,0.01,0,0,,0,0,1,0,58,68,47.42857143,4/22/2019
201918,0,72009162.7,4401644.73,71819802.56,1.197855771,0.0225,0.4,0,0,,0,0,1,0,52.71428571,64.71428571,42,4/29/2019
201919,0,72520435.2,4440805.31,72331074.97,0.947223642,0.0225,0.18,0,0,,0,0,1,0,58,69.42857143,47.28571429,5/6/2019
201920,0,70832701.6,4450195.49,70643341.29,0.296730799,0.0225,1.24,0,0,,0,0,1,0,63.14285714,72,52.14285714,5/13/2019
201921,0,69735634.4,4287869.92,69546274.3,0.028320441,0.0225,1.13,0,0,,0,0,1,0,52.57142857,62.42857143,46,5/20/2019
201922,0,68804376.7,4143346.13,68615016.45,-0.399663144,0.0222,1.21,0,0,,0,0,1,0,60.85714286,70.85714286,51.85714286,5/27/2019
201923,0,72167863.3,4457974.49,71978502.98,-1.320589782,0.0222,0.1,0,0,,0,0,1,0,66.42857143,78.14285714,53.14285714,6/3/2019
201924,0,72802863.4,4536254.1,72613503.17,-1.591548755,0.0222,0.01,0,0,,0,0,1,0,71.71428571,84.14285714,59.28571429,6/10/2019
201925,0,72996099.6,4593907.59,72806739.51,-1.389236077,0.0222,0.04,0,0,,0,0,1,0,67.42857143,79,55.71428571,6/17/2019
201926,0,72780489.2,4605690.96,72591128.98,-1.37055923,0.0222,0,0,0,,0,0,1,0,79.14285714,90,65.57142857,6/24/2019
201927,0,66094247.2,4023156.98,65904886.98,-1.241926,0.0224,0.11,0,0,,0,0,1,0,77.14285714,90.71428571,63.85714286,7/1/2019
201928,0,72861868.5,4554994.33,72672508.3,-1.060038448,0.0224,0,0,0,,0,0,1,0,82.28571429,95.71428571,69.14285714,7/8/2019
201929,0,73653810.2,4570744.1,73464450.05,-0.820244893,0.0224,0,0,0,,0,0,1,0,84.71428571,97.71428571,69.71428571,7/15/2019
201930,0,71208809.5,4413059.97,71019449.33,-0.59737444,0.0224,0.28,0,0,,0,0,1,0,83.57142857,95,72.71428571,7/22/2019
201931,0,73063204.4,4543458.15,72873844.11,-0.645877659,0.0228,0.02,0,0,,0,0,1,0,83.71428571,97.42857143,70.14285714,7/29/2019
201932,0,73168406.1,4548794.49,72979045.93,-1.20410949,0.0228,0.49,0,0,,0,0,1,0,81.42857143,91.57142857,69.57142857,8/5/2019
201933,0,74106570.7,4515600.38,73917210.53,-1.816262961,0.0228,0,0,0,,0,0,1,0,78.85714286,92.42857143,64.71428571,8/12/2019
201934,0,72476492.7,4412977.7,72287132.44,-2.128535598,0.0228,0,0,0,,0,0,1,0,81.71428571,94.42857143,68,8/19/2019
201935,0,71489223.4,4432390.96,71299863.32,-1.702985033,0.0232,0,0,0,,0,0,1,0,79.57142857,93.42857143,66,8/26/2019
201936,0,76166552,4292784.04,69009960.18,-1.450148523,0.0232,0.28,0,0,,0,0,1,0,80,91,67.57142857,9/2/2019
