dates,Cases,VMT (Veh-Miles),VMT Truck,VMT Total,News Sentiment,Unemployment Rate,PRCP,SNOW,SNWD,Percent_Fully_Vaccinated_12&Older,TOBS,TMAX,TMIN,Day,Mask,School Opening,Health Emergency,Stay at Home
201902,0,33218674.4,2388624.5,33220875.02,-0.591106563,0,0.01,0,3,,37.57142857,41.28571429,26.85714286,1/7/2019,0,1,0,0
201903,0,33006860.1,2360753.57,33015445.36,-0.719276905,0,1.86,1.5,1,,37.14285714,39,27,1/14/2019,0,1,0,0
201904,0,32083977.8,2289224.54,32099265.73,-0.798199899,0,0.5,6,16,,34,37.14285714,22,1/21/2019,0,1,0,0
201905,0,34203544.5,2409433.27,34202692.83,-0.793748215,0.0274,0.47,0,5,,42.71428571,44,24.57142857,1/28/2019,0,1,0,0
201906,0,31445991.4,2215753.62,31442018.12,-0.329561126,0,0.28,3,4,,33.85714286,38.28571429,21.14285714,2/4/2019,0,1,0,0
201907,0,33775554.8,2407970.43,33783545.8,-0.241498536,0,1.44,6.5,10,,36,42.85714286,23,2/11/2019,0,1,0,0
201908,0,33884619,2332587.29,33885416.09,-0.002925632,0,0.33,8,13,,30.71428571,33.85714286,15.28571429,2/18/2019,0,1,0,0
201909,0,34695244.8,2540163.52,34697313.95,0.268124397,0.0267,1.46,9.5,8,,44.14285714,50.71428571,32.14285714,2/25/2019,0,1,0,0
201910,0,34947981.4,2496616.51,34955068.96,0.634419404,0,0.93,0,8,,41.71428571,44,31.28571429,3/4/2019,0,1,0,0
201911,0,36456426.6,2571928.44,36460544.13,0.552426309,0,0.79,1.5,1,,46,49.71428571,27.28571429,3/11/2019,0,1,0,0
201912,0,36694061.1,2622595.13,36695809.18,0.725188926,0,0.39,0,0,,52,55.42857143,37,3/18/2019,0,1,0,0
201913,0,38388034.2,2724623.1,38395616.98,0.340236172,0,1.04,0.8,0,,55.71428571,59.28571429,35.71428571,3/25/2019,0,1,0,0
201914,0,36886335,2676999.9,36900503.49,0.202864404,0.0261,0.32,0,0,,56.57142857,61.28571429,40,4/1/2019,0,1,0,0
201915,0,36948488.5,2660403.96,36957435.21,0.345729861,0,1.15,0,0,,51.14285714,56.28571429,36.42857143,4/8/2019,0,1,0,0
201916,0,38447398.7,2736471.65,38457352.16,0.725487046,0,0.61,0,0,,60.28571429,66.42857143,43.28571429,4/15/2019,0,1,0,0
201917,0,39421385.5,2842935.59,39437123.14,0.910453662,0,0.15,0,0,,66.14285714,69.14285714,44.14285714,4/22/2019,0,1,0,0
201918,0,39053125.1,2859715.18,39069142.43,1.197855771,0.0256,1.15,0,0,,57.85714286,62.14285714,38.71428571,4/29/2019,0,1,0,0
201919,0,38311277.4,2802971.45,38321035.01,0.947223642,0,0.99,0,0,,61.85714286,65.28571429,42.42857143,5/6/2019,0,1,0,0
201920,0,37385284.3,2884362.88,37390545.73,0.296730799,0,0.53,0,0,,65.57142857,72.71428571,46.42857143,5/13/2019,0,1,0,0
201921,0,38343901.8,2863418.64,38363306.28,0.028320441,0,1.4,0,0,,54.85714286,58.14285714,40.71428571,5/20/2019,0,1,0,0
201922,0,37826966.1,2778548.28,37807100.66,-0.399663144,0.0251,0.85,0,0,,68.85714286,72.14285714,46.71428571,5/27/2019,0,1,0,0
201923,0,38452911.4,2892382.93,38462580.05,-1.320589782,0,0.13,0,0,,74.42857143,79.28571429,50.42857143,6/3/2019,0,1,0,0
201924,0,39716907.2,3010761.71,39717131.52,-1.591548755,0,0.06,0,0,,78.28571429,82,51.28571429,6/10/2019,0,1,0,0
201925,0,40046438.6,3011516.35,40047681.83,-1.389236077,0,0.26,0,0,,73.71428571,79.57142857,50.71428571,6/17/2019,0,1,0,0
201926,0,39603310.3,3013642.78,39608696.87,-1.37055923,0,0,0,0,,85.42857143,88,54.85714286,6/24/2019,0,1,0,0
201927,0,37669610.9,2699417.69,37654150.2,-1.241926,0.0248,0.06,0,0,,87,90.28571429,57.28571429,7/1/2019,0,1,0,0
201928,0,39600814.8,3015445.12,39597618.3,-1.060038448,0,0.03,0,0,,90.57142857,94.28571429,59.85714286,7/8/2019,0,1,0,0
201929,0,40336309.5,3033680.87,40334053.58,-0.820244893,0,0,0,0,,94.42857143,95.57142857,63.57142857,7/15/2019,0,1,0,0
201930,0,38986181.7,2992574.45,38974521.95,-0.59737444,0,0.67,0,0,,90,92.71428571,64.42857143,7/22/2019,0,1,0,0
201931,0,39572987.9,2993117.98,39564308.33,-0.645877659,0.0245,0.3,0,0,,86,93.42857143,63,7/29/2019,0,1,0,0
201932,0,39499764.3,2943000.9,39479500.51,-1.20410949,0,0.3,0,0,,84.28571429,91,62.42857143,8/5/2019,0,1,0,0
201933,0,39939929.9,2964597.71,39923414.51,-1.816262961,0,0,0,0,,90.71428571,92.28571429,58.85714286,8/12/2019,0,1,0,0
201934,0,38865189.6,2916596.96,38854366.31,-2.128535598,0,0,0,0,,91.85714286,94,58.71428571,8/19/2019,0,1,0,0
201935,0,38840937,2877418.49,38871550.7,-1.702985033,0.0243,0.06,0,0,,91.42857143,93.85714286,58,8/26/2019,0,1,0,0
201936,0,39378426.3,2787226.63,38277907.14,-1.450148523,0,0.28,0,0,,86.14285714,90.71428571,61.71428571,9/2/2019,0,1,0,0
